actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Gobert: Tip to Favors,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/4/7add6f4c-60c7-d483-ed6a-9409a27e7ff7_1280x720.mp4,328,train-328,Jump Ball PLAYER202326 vs. PLAYER203497: Tip to PLAYER202324,PLAYER202326 PLAYER203497 PLAYER202324,action41
43.0,Turnover,PT11M43.00S,Ingles Bad Pass Turnover (P1.T1),0.0,v,1.0,204060.0,Ingles,J. Ingles,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/43/059e0eb6-658e-b06d-59ed-c4876636949e_1280x720.mp4,329,train-329,PLAYER204060 Bad Pass Turnover ,PLAYER204060,action143
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M25.00S </> PT11M23.00S,MISS Green 25' 3PT Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203110.0 </> 203497.0,Green </> Gobert,D. Green </> R. Gobert,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,-143.0 </> 0.0,210.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/9/67fe4aaa-59b0-ad50-8032-35906b1fc86b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/10/da770042-6d4f-c84b-77af-9c1ad5b196b7_1280x720.mp4,330 </> 331,train-330 </> train-331,MISS PLAYER203110 25' 3PT Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER203497,action109 </> action135
11.0,Made Shot,PT11M14.00S,Gobert 1' Alley Oop Dunk (2 PTS) (Rubio 1 AST),1.0,v,1.0,203497.0,Gobert,R. Gobert,2.0,2,0,1.0,Made,Alley Oop Dunk Shot,1610612762.0,UTA,1.0,-3.0,11.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/11/b6e56b70-2bdd-1714-d3e2-da3dd72f01bd_1280x720.mp4,332,train-332,PLAYER203497 1' Alley Oop Dunk (PLAYER201937 AST),PLAYER203497 PLAYER201937,action42
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M49.00S </> PT10M47.00S,MISS Thompson 25' 3PT Jump Shot </> Gobert REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,202691.0 </> 203497.0,Thompson </> Gobert,K. Thompson </> R. Gobert,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,115.0 </> 0.0,227.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/13/196ef65d-2143-6785-847b-b1d5ea9d0313_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/14/bbd62c49-5bda-5eba-15f5-c4dd70d478f7_1280x720.mp4,333 </> 334,train-333 </> train-334,MISS PLAYER202691 25' 3PT Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER203497,action109 </> action135
15.0,Turnover,PT10M37.00S,Rubio Bad Pass Turnover (P1.T2),0.0,v,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/15/e10c59aa-b5ab-154e-bd7b-185d94a0b09b_1280x720.mp4,335,train-335,PLAYER201937 Bad Pass Turnover ,PLAYER201937,action143
17.0,Made Shot,PT10M32.00S,Green 1' Dunk (2 PTS) (Curry 1 AST),1.0,h,1.0,203110.0,Green,D. Green,4.0,2,2,1.0,Made,Dunk Shot,1610612744.0,GSW,1.0,-2.0,8.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/17/bed76305-ac15-f413-3f23-3a3981cb5509_1280x720.mp4,336,train-336,PLAYER203110 1' Dunk (PLAYER201939 AST),PLAYER203110 PLAYER201939,action56
19.0,Turnover,PT10M26.00S,Rubio Bad Pass Turnover (P2.T3),0.0,v,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/19/d54dbcb5-3ea2-d9fe-1850-0ae42c0daa66_1280x720.mp4,337,train-337,PLAYER201937 Bad Pass Turnover ,PLAYER201937,action143
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M15.00S </> PT10M13.00S,MISS Curry 27' 3PT Running Pull-Up Jump Shot </> Ingles REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201939.0 </> 204060.0,Curry </> Ingles,S. Curry </> J. Ingles,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Running Pull-Up Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,-129.0 </> 0.0,232.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/21/64d8bc47-9e0b-dff3-440d-6e593fed4e66_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/22/328aeeb0-2789-9307-9a64-c0899c1f7e65_1280x720.mp4,338 </> 339,train-338 </> train-339,MISS PLAYER201939 27' 3PT Running Pull-Up Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER201939 </> PLAYER204060,action122 </> action135
23.0,Missed Shot,PT10M09.00S,MISS Mitchell 3' Layup,1.0,v,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,3.0,Missed,Layup Shot,1610612762.0,UTA,1.0,-25.0,11.0,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800852/23/5062e791-dc92-7ff2-2dea-b3b1566dcbbc_1280x720.mp4,340,train-340,MISS PLAYER1628378 3' Layup,PLAYER1628378,action110
