actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Mejri vs. Whiteside: Tip to Olynyk,0.0,h,1.0,1626257.0,Mejri,S. Mejri,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/4/a5460a4d-513e-f988-628e-2731aedc187b_1280x720.mp4,12647,train-12647,Jump Ball PLAYER1626257 vs. PLAYER202355: Tip to PLAYER203482,PLAYER1626257 PLAYER202355 PLAYER203482,action41
10.0,Violation,PT11M48.00S,Mejri Violation:Defensive Goaltending (S.Wall),0.0,h,1.0,1626257.0,Mejri,S. Mejri,0.0,,,0.0,,Defensive Goaltending,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/10/be859c51-670d-1e1b-3447-20fc7428bff4_1280x720.mp4,12648,train-12648,PLAYER1626257 Violation:Defensive Goaltending ,PLAYER1626257,action164
11.0,Turnover,PT11M35.00S,Doncic Bad Pass Turnover (P1.T1),0.0,h,1.0,1629029.0,Doncic,L. Doncic,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/11/9430408a-eb19-90e5-58ff-02f3f01a15a6_1280x720.mp4,12649,train-12649,PLAYER1629029 Bad Pass Turnover ,PLAYER1629029,action143
16.0,Made Shot,PT11M13.00S,Kleber 26' 3PT Jump Shot (3 PTS) (Doncic 1 AST),1.0,h,1.0,1628467.0,Kleber,M. Kleber,5.0,2,3,26.0,Made,Jump Shot,1610612742.0,DAL,1.0,169.0,191.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/16/bf0e1cbe-ef37-95b8-5994-2b552de80fed_1280x720.mp4,12650,train-12650,PLAYER1628467 26' 3PT Jump Shot (PLAYER1629029 AST),PLAYER1628467 PLAYER1629029,action63
20.0,Defensive Rebound,PT10M51.00S,Kleber REBOUND (Off:0 Def:1),0.0,h,1.0,1628467.0,Kleber,M. Kleber,0.0,,,0.0,,Unknown,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/20/0589c0e4-e0c8-ceaa-63e0-aff55b6a2b8e_1280x720.mp4,12651,train-12651,PLAYER1628467 DEFENSIVE REBOUND ,PLAYER1628467,action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M46.00S </> PT10M43.00S,MISS Kleber 25' 3PT Jump Shot </> Olynyk REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628467.0 </> 203482.0,Kleber </> Olynyk,M. Kleber </> K. Olynyk,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612748.0,DAL </> MIA,1.0 </> 1.0,86.0 </> 0.0,233.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/21/7620f5c4-89e4-c631-e42d-202ba1e9e846_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/22/d93e2272-a856-bbc7-fc08-7658ca41397b_1280x720.mp4,12652 </> 12653,train-12652 </> train-12653,MISS PLAYER1628467 25' 3PT Jump Shot </> PLAYER203482 DEFENSIVE REBOUND ,PLAYER1628467 </> PLAYER203482,action109 </> action135
25.0,Made Shot,PT10M32.00S,Richardson 16' Step Back Jump Shot (4 PTS) (Winslow 1 AST),1.0,v,1.0,1626196.0,Richardson,J. Richardson,7.0,4,3,16.0,Made,Step Back Jump shot,1610612748.0,MIA,1.0,-154.0,48.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/25/19b609d4-b044-5ad2-5473-9bd846538e9f_1280x720.mp4,12654,train-12654,PLAYER1626196 16' Step Back Jump Shot (PLAYER1626159 AST),PLAYER1626196 PLAYER1626159,action80
27.0,Missed Shot,PT10M20.00S,MISS Finney-Smith 4' Driving Layup,1.0,h,1.0,1627827.0,Finney-Smith,D. Finney-Smith,0.0,,,4.0,Missed,Driving Layup Shot,1610612742.0,DAL,1.0,-32.0,20.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/27/1180f1a0-bf7d-91d1-013d-708567278036_1280x720.mp4,12655,train-12655,MISS PLAYER1627827 4' Driving Layup,PLAYER1627827,action99
30.0 </> 31.0,Missed Shot </> Defensive Rebound,PT10M14.00S </> PT10M10.00S,MISS Richardson 26' 3PT Jump Shot </> Finney-Smith REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626196.0 </> 1627827.0,Richardson </> Finney-Smith,J. Richardson </> D. Finney-Smith,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612742.0,MIA </> DAL,1.0 </> 1.0,-215.0 </> 0.0,148.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/30/606b48c3-3d92-9e72-40f9-ff360e0e2c4f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/31/65d685f9-7a5f-03d8-8bc0-2c33a8dda199_1280x720.mp4,12656 </> 12657,train-12656 </> train-12657,MISS PLAYER1626196 26' 3PT Jump Shot </> PLAYER1627827 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1627827,action109 </> action135
32.0 </> 33.0,Missed Shot </> Defensive Rebound,PT09M59.00S </> PT09M55.00S,MISS Hardaway Jr. 25' 3PT Jump Shot </> Whiteside REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203501.0 </> 202355.0,Hardaway Jr. </> Whiteside,T. Hardaway Jr. </> H. Whiteside,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612748.0,DAL </> MIA,1.0 </> 1.0,35.0 </> 0.0,249.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/32/f25392d3-bb47-fc43-538c-b070c41d2730_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800859/33/cb2c1a16-6fc0-448d-4313-dd64b5c28745_1280x720.mp4,12658 </> 12659,train-12658 </> train-12659,MISS PLAYER203501 25' 3PT Jump Shot </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER203501 </> PLAYER202355,action109 </> action135
