actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Zubac vs. Ayton: Tip to Gallinari,0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/4/b8f29ab0-2068-3058-3cc1-03012973e9eb_1280x720.mp4,41206,test-2080,Jump Ball PLAYER1627826 vs. PLAYER1629028: Tip to PLAYER201568,PLAYER1627826 PLAYER1629028 PLAYER201568,action41
7.0,Made Shot,PT11M40.00S,Shamet 2' Cutting Layup Shot (2 PTS) (Gallinari 1 AST),1.0,h,1.0,1629013.0,Shamet,L. Shamet,2.0,0,2,2.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,16.0,5.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/7/1d0c61eb-456a-7f08-06c6-5dea2a6fdeea_1280x720.mp4,41207,test-2081,PLAYER1629013 2' Cutting Layup Shot (PLAYER201568 AST),PLAYER1629013 PLAYER201568,action46
9.0,Made Shot,PT11M21.00S,Ayton 3' Turnaround Bank Hook Shot (2 PTS) (Booker 1 AST),1.0,v,1.0,1629028.0,Ayton,D. Ayton,4.0,2,2,3.0,Made,Turnaround Bank Hook Shot,1610612756.0,PHX,1.0,13.0,23.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/9/4461a717-c1a1-3535-6d04-5ead606f0168_1280x720.mp4,41208,test-2082,PLAYER1629028 3' Turnaround Bank Hook Shot (PLAYER1626164 AST),PLAYER1629028 PLAYER1626164,action83
11.0,Made Shot,PT11M05.00S,Gallinari 3' Driving Finger Roll Layup (2 PTS),1.0,h,1.0,201568.0,Gallinari,D. Gallinari,6.0,2,4,3.0,Made,Driving Finger Roll Layup Shot,1610612746.0,LAC,1.0,27.0,14.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/11/390d298d-5d1d-70a1-50aa-670aa60cbeb0_1280x720.mp4,41209,test-2083,PLAYER201568 3' Driving Finger Roll Layup ,PLAYER201568,action49
12.0,Made Shot,PT10M44.00S,Jackson 3' Driving Floating Bank Jump Shot (2 PTS) (Bridges 1 AST),1.0,v,1.0,1628367.0,Jackson,J. Jackson,8.0,4,4,3.0,Made,Driving Floating Bank Jump Shot,1610612756.0,PHX,1.0,-5.0,29.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/12/e718403c-0825-3ff8-c773-6d063a0aefe7_1280x720.mp4,41210,test-2084,PLAYER1628367 3' Driving Floating Bank Jump Shot (PLAYER1628969 AST),PLAYER1628367 PLAYER1628969,action50
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M34.00S </> PT10M31.00S,MISS Gilgeous-Alexander 15' Pullup Jump Shot </> Booker REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628983.0 </> 1626164.0,Gilgeous-Alexander </> Booker,S. Gilgeous-Alexander </> D. Booker,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612756.0,LAC </> PHX,1.0 </> 1.0,-98.0 </> 0.0,113.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/13/dad5b731-1240-2597-7eab-63f3dad4909a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/14/acd88d76-0022-2a19-bf9f-56512a427861_1280x720.mp4,41211 </> 41212,test-2085 </> test-2086,MISS PLAYER1628983 15' Pullup Jump Shot </> PLAYER1626164 DEFENSIVE REBOUND ,PLAYER1628983 </> PLAYER1626164,action111 </> action135
16.0,Made Shot,PT10M20.00S,Jackson 3' Turnaround Hook Shot (4 PTS) (Bridges 2 AST),1.0,v,1.0,1628367.0,Jackson,J. Jackson,10.0,6,4,3.0,Made,Turnaround Hook Shot,1610612756.0,PHX,1.0,-24.0,10.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/16/ee38c816-ed7e-96ca-5976-4dec6a55c357_1280x720.mp4,41213,test-2087,PLAYER1628367 3' Turnaround Hook Shot (PLAYER1628969 AST),PLAYER1628367 PLAYER1628969,action86
18.0,Turnover,PT10M05.00S,Beverley Bad Pass Turnover (P1.T1),0.0,h,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Bad Pass,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/18/e5ebbf24-b9c8-f606-63f7-460d2e7bda25_1280x720.mp4,41214,test-2088,PLAYER201976 Bad Pass Turnover ,PLAYER201976,action143
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT09M58.00S </> PT09M54.00S,MISS Bridges 26' 3PT Jump Shot </> Zubac REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628969.0 </> 1627826.0,Bridges </> Zubac,M. Bridges </> I. Zubac,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612746.0,PHX </> LAC,1.0 </> 1.0,-188.0 </> 0.0,184.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/20/632643b3-9547-eda6-502f-2f4bbe91d3a1_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/21/6d067c4d-951c-95c4-b59f-b606316f6476_1280x720.mp4,41215 </> 41216,test-2089 </> test-2090,MISS PLAYER1628969 26' 3PT Jump Shot </> PLAYER1627826 DEFENSIVE REBOUND ,PLAYER1628969 </> PLAYER1627826,action109 </> action135
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT09M47.00S </> PT09M43.00S,MISS Gallinari 26' 3PT Jump Shot </> Booker REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,201568.0 </> 1626164.0,Gallinari </> Booker,D. Gallinari </> D. Booker,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612756.0,LAC </> PHX,1.0 </> 1.0,-160.0 </> 0.0,208.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/22/205ea520-ff99-3631-ed8a-c03676dfa7af_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/13/0021800863/23/94b3ed3c-2582-172b-e278-6351c3ca7807_1280x720.mp4,41217 </> 41218,test-2091 </> test-2092,MISS PLAYER201568 26' 3PT Jump Shot </> PLAYER1626164 DEFENSIVE REBOUND ,PLAYER201568 </> PLAYER1626164,action109 </> action135
