actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Marjanovic vs. Whiteside: Tip to Olynyk,0.0,h,1.0,1626246.0,Marjanovic,B. Marjanovic,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/4/6564df25-c2f1-1ba7-e179-8dcd81d37db5_1280x720.mp4,21418,train-21418,Jump Ball PLAYER1626246 vs. PLAYER202355: Tip to PLAYER203482,PLAYER1626246 PLAYER202355 PLAYER203482,action41
7.0,Foul,PT11M49.00S,Redick P.FOUL (P1.T1) (A.Smith),0.0,h,1.0,200755.0,Redick,J. Redick,0.0,,,0.0,,Personal,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/7/dd0f0f4f-db61-2f90-b7d8-88b2cdfb2e04_1280x720.mp4,21419,train-21419,PLAYER200755 P.FOUL ,PLAYER200755,action16
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M39.00S </> PT11M36.00S,MISS Richardson 15' Pullup Jump Shot </> Marjanovic REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626196.0 </> 1626246.0,Richardson </> Marjanovic,J. Richardson </> B. Marjanovic,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,-46.0 </> 0.0,143.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/9/3a2195a9-6b9c-2f9b-20f4-a37e59f95e81_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/10/810a9076-eff7-547d-8e36-9d1099e2e77f_1280x720.mp4,21420 </> 21421,train-21420 </> train-21421,MISS PLAYER1626196 15' Pullup Jump Shot </> PLAYER1626246 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1626246,action111 </> action135
12.0,Defensive Rebound,PT11M27.00S,Olynyk REBOUND (Off:0 Def:1),0.0,v,1.0,203482.0,Olynyk,K. Olynyk,0.0,,,0.0,,Unknown,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/12/4b860912-3d10-8de1-92d8-5f00bb436c95_1280x720.mp4,21422,train-21422,PLAYER203482 DEFENSIVE REBOUND ,PLAYER203482,action135
13.0,Made Shot,PT11M10.00S,Waiters 16' Pullup Jump Shot (2 PTS),1.0,v,1.0,203079.0,Waiters,D. Waiters,2.0,2,0,16.0,Made,Pullup Jump shot,1610612748.0,MIA,1.0,98.0,130.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/13/b246c9c4-3f4c-fa2d-2738-b17c2b8d5ff0_1280x720.mp4,21423,train-21423,PLAYER203079 16' Pullup Jump Shot ,PLAYER203079,action65
14.0,Foul,PT10M51.00S,Winslow S.FOUL (P1.T1) (T.Brothers),0.0,v,1.0,1626159.0,Winslow,J. Winslow,0.0,,,0.0,,Shooting,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/14/4c92a585-5f8a-12c7-d3f1-b8529e1d2ec2_1280x720.mp4,21424,train-21424,PLAYER1626159 S.FOUL ,PLAYER1626159,action18
18.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M40.00S </> PT10M36.00S,MISS Olynyk 1' Reverse Layup </> Redick REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203482.0 </> 200755.0,Olynyk </> Redick,K. Olynyk </> J. Redick,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Reverse Layup Shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,6.0 </> 0.0,1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/18/76c94caa-bf9c-5171-f0eb-b1d594e042d4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/20/c753c0ce-cc60-d64c-d61a-aa87142c0b30_1280x720.mp4,21425 </> 21426,train-21425 </> train-21426,MISS PLAYER203482 1' Reverse Layup </> PLAYER200755 DEFENSIVE REBOUND ,PLAYER203482 </> PLAYER200755,action115 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M26.00S </> PT10M24.00S,MISS Redick 26' 3PT Jump Shot </> Waiters REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200755.0 </> 203079.0,Redick </> Waiters,J. Redick </> D. Waiters,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612748.0,PHI </> MIA,1.0 </> 1.0,126.0 </> 0.0,225.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/21/d3fff846-90d8-4ec3-954f-2c60bc73206d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/22/a7581c06-bf56-ac2e-0013-b456e5b1427d_1280x720.mp4,21427 </> 21428,train-21427 </> train-21428,MISS PLAYER200755 26' 3PT Jump Shot </> PLAYER203079 DEFENSIVE REBOUND ,PLAYER200755 </> PLAYER203079,action109 </> action135
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M20.00S </> PT10M17.00S,MISS Waiters 2' Running Layup </> Marjanovic REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203079.0 </> 1626246.0,Waiters </> Marjanovic,D. Waiters </> B. Marjanovic,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Running Layup Shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,13.0 </> 0.0,18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/23/724fe37f-521d-923e-daca-0c1cda35c905_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/24/7cda3d7f-5ced-e580-f0c8-972533bbe8e7_1280x720.mp4,21429 </> 21430,train-21429 </> train-21430,MISS PLAYER203079 2' Running Layup </> PLAYER1626246 DEFENSIVE REBOUND ,PLAYER203079 </> PLAYER1626246,action121 </> action135
25.0 </> 26.0 </> 27.0 </> 28.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT10M12.00S </> PT10M12.00S </> PT10M12.00S </> PT10M05.00S,MISS Butler 2' Running Layup </> Harris REBOUND (Off:1 Def:0) </> MISS Harris 1' Putback Layup </> Whiteside REBOUND (Off:0 Def:1),1.0 </> 0.0 </> 1.0 </> 0.0,h </> h </> h </> v,1.0 </> 1.0 </> 1.0 </> 1.0,202710.0 </> 202699.0 </> 202699.0 </> 202355.0,Butler </> Harris </> Harris </> Whiteside,J. Butler </> T. Harris </> T. Harris </> H. Whiteside,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,2.0 </> 0.0 </> 1.0 </> 0.0,Missed </>  </> Missed </> ,Running Layup Shot </> Unknown </> Putback Layup Shot </> Unknown,1610612755.0 </> 1610612755.0 </> 1610612755.0 </> 1610612748.0,PHI </> PHI </> PHI </> MIA,1.0 </> 1.0 </> 1.0 </> 1.0,7.0 </> 0.0 </> 0.0 </> 0.0,-16.0 </> 0.0 </> -6.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/25/61728fc0-5eac-901f-bacf-62506fa28c81_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/26/6c54967f-5572-fe8a-c307-36c8639e4040_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/27/a6788937-0732-4d74-2a0a-6ab81c90ceaa_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/21/0021800868/28/bc0f72e4-d6ae-a312-2328-329487904942_1280x720.mp4,21431 </> 21432 </> 21433 </> 21434,train-21431 </> train-21432 </> train-21433 </> train-21434,MISS PLAYER202710 2' Running Layup </> PLAYER202699 OFFENSIVE REBOUND  </> MISS PLAYER202699 1' Putback Layup </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER202710 </> PLAYER202699 </> PLAYER202699 </> PLAYER202355,action121 </> action135 </> action113 </> action135
