actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Aldridge: Tip to Russell,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/4/40c8a4a5-6cd7-37e4-ee2d-e279cfcbc685_1280x720.mp4,7606,train-7606,Jump Ball PLAYER1628386 vs. PLAYER200746: Tip to PLAYER1626156,PLAYER1628386 PLAYER200746 PLAYER1626156,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M47.00S </> PT11M43.00S,MISS Graham 26' 3PT Jump Shot </> White REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626203.0 </> 1628401.0,Graham </> White,T. Graham </> D. White,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612759.0,BKN </> SAS,1.0 </> 1.0,-27.0 </> 0.0,257.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/7/66fdae08-c3ac-91c5-a972-a5f59c1534ed_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/8/f712ddf4-5b49-e8be-3544-4274231eb8b2_1280x720.mp4,7607 </> 7608,train-7607 </> train-7608,MISS PLAYER1626203 26' 3PT Jump Shot </> PLAYER1628401 DEFENSIVE REBOUND ,PLAYER1626203 </> PLAYER1628401,action109 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M36.00S </> PT11M33.00S,MISS Aldridge 10' Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,200746.0 </> 1626156.0,Aldridge </> Russell,L. Aldridge </> D. Russell,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612751.0,SAS </> BKN,1.0 </> 1.0,-96.0 </> 0.0,3.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/9/cd4f85a8-6b8a-f443-f551-19bdc617aabf_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/10/62e32a26-d1cd-ae96-5580-0b2077f21559_1280x720.mp4,7609 </> 7610,train-7609 </> train-7610,MISS PLAYER200746 10' Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1626156,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M24.00S </> PT11M20.00S,MISS Russell 25' 3PT Pullup Jump Shot </> Aldridge REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626156.0 </> 200746.0,Russell </> Aldridge,D. Russell </> L. Aldridge,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612751.0 </> 1610612759.0,BKN </> SAS,1.0 </> 1.0,-20.0 </> 0.0,248.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/11/a8b35411-a4ea-4cd6-db86-f80f69562c51_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/12/c8ddf0f1-0540-e08a-8c41-17f90343eb1e_1280x720.mp4,7611 </> 7612,train-7611 </> train-7612,MISS PLAYER1626156 25' 3PT Pullup Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER200746,action111 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M05.00S </> PT11M00.00S,MISS White 11' Driving Floating Jump Shot </> Russell REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628401.0 </> 1626156.0,White </> Russell,D. White </> D. Russell,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612759.0 </> 1610612751.0,SAS </> BKN,1.0 </> 1.0,28.0 </> 0.0,110.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/13/ed461f3e-1c72-4a62-3de9-c3050c02dbec_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/14/02cd7c50-1935-08d3-c3c3-57daaa25a7c7_1280x720.mp4,7613 </> 7614,train-7613 </> train-7614,MISS PLAYER1628401 11' Driving Floating Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1628401 </> PLAYER1626156,action97 </> action135
15.0,Made Shot,PT10M50.00S,Russell 11' Driving Floating Jump Shot (2 PTS),1.0,h,1.0,1626156.0,Russell,D. Russell,2.0,0,2,11.0,Made,Driving Floating Jump Shot,1610612751.0,BKN,1.0,-39.0,107.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/15/4ba74e46-b050-4ef0-34bc-d14ce53ac113_1280x720.mp4,7615,train-7615,PLAYER1626156 11' Driving Floating Jump Shot ,PLAYER1626156,action51
16.0 </> 18.0,Foul </> Turnover,PT10M40.00S </> PT10M40.00S,Aldridge OFF.Foul (P1) (T.Maddox) </> Aldridge Offensive Foul Turnover (P1.T1),0.0 </> 0.0,v </> v,1.0 </> 1.0,200746.0 </> 200746.0,Aldridge </> Aldridge,L. Aldridge </> L. Aldridge,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612759.0 </> 1610612759.0,SAS </> SAS,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/16/036f37d9-0d4b-3976-c77f-60eeef9b1296_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/18/c26fbb3d-be20-1b6f-26f8-38261aa28528_1280x720.mp4,7616 </> 7617,train-7616 </> train-7617,PLAYER200746 OFF.Foul  </> PLAYER200746 Offensive Foul Turnover ,PLAYER200746 </> PLAYER200746,action14 </> action155
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M22.00S </> PT10M22.00S,MISS Graham 3PT Jump Shot </> White REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626203.0 </> 1628401.0,Graham </> White,T. Graham </> D. White,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612759.0,BKN </> SAS,1.0 </> 1.0,232.0 </> 0.0,12.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/19/10782e84-3022-77f1-9121-c441ef4675c6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/20/5e45c938-5fd2-aa49-0c64-c99196d8f25d_1280x720.mp4,7618 </> 7619,train-7618 </> train-7619,MISS PLAYER1626203 3PT Jump Shot </> PLAYER1628401 DEFENSIVE REBOUND ,PLAYER1626203 </> PLAYER1628401,action109 </> action135
21.0,Made Shot,PT10M10.00S,DeRozan 13' Floating Jump Shot (2 PTS),1.0,v,1.0,201942.0,DeRozan,D. DeRozan,4.0,2,2,13.0,Made,Floating Jump shot,1610612759.0,SAS,1.0,36.0,124.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/21/22af2ee2-8c67-00c0-24af-ba6394a768c9_1280x720.mp4,7620,train-7620,PLAYER201942 13' Floating Jump Shot ,PLAYER201942,action59
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT10M00.00S </> PT09M57.00S,MISS LeVert 26' 3PT Jump Shot </> Bertans REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627747.0 </> 202722.0,LeVert </> Bertans,C. LeVert </> D. Bertans,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612759.0,BKN </> SAS,1.0 </> 1.0,-112.0 </> 0.0,230.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/22/610e5650-51f3-9cca-00c1-ac5cfad5ac83_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800900/23/23fe2233-9fce-d7bb-64d9-7e2b8e0aed07_1280x720.mp4,7621 </> 7622,train-7621 </> train-7622,MISS PLAYER1627747 26' 3PT Jump Shot </> PLAYER202722 DEFENSIVE REBOUND ,PLAYER1627747 </> PLAYER202722,action109 </> action135
