actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4,Jump Ball,PT12M00.00S,Jump Ball Whiteside vs. Ayton: Tip to Olynyk,0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/4/bfe0a0fc-e8c5-3b73-d555-73a027806242_1280x720.mp4,9974,train-9974,Jump Ball PLAYER202355 vs. PLAYER1629028: Tip to PLAYER203482,PLAYER202355 PLAYER1629028 PLAYER203482,action41
7 </> 8,Missed Shot </> Defensive Rebound,PT11M42.00S </> PT11M39.00S,MISS Robinson 24' 3PT Jump Shot </> Oubre Jr. REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629130.0 </> 1626162.0,Robinson </> Oubre Jr.,D. Robinson </> K. Oubre Jr.,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612756.0,MIA </> PHX,1.0 </> 1.0,235.0 </> 0.0,21.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/7/8237667d-ebdb-1964-7e4f-d9d4c1c61594_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/8/b2c68beb-f4c1-7949-5ef9-2c9feaa1bc16_1280x720.mp4,9975 </> 9976,train-9975 </> train-9976,MISS PLAYER1629130 24' 3PT Jump Shot </> PLAYER1626162 DEFENSIVE REBOUND ,PLAYER1629130 </> PLAYER1626162,action109 </> action135
9 </> 10,Missed Shot </> Defensive Rebound,PT11M25.00S </> PT11M22.00S,MISS Ayton 13' Jump Shot </> Olynyk REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 203482.0,Ayton </> Olynyk,D. Ayton </> K. Olynyk,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612748.0,PHX </> MIA,1.0 </> 1.0,-23.0 </> 0.0,130.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/9/c704477f-d5a9-f6b7-33de-4a3a65a82c59_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/10/d416825f-75ad-149a-fc1a-ffe08fa32ad1_1280x720.mp4,9977 </> 9978,train-9977 </> train-9978,MISS PLAYER1629028 13' Jump Shot </> PLAYER203482 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER203482,action109 </> action135
11 </> 13,Foul </> Turnover,PT11M20.00S </> PT11M20.00S,Olynyk OFF.Foul (P1) (R.Mott) </> Olynyk Offensive Foul Turnover (P1.T1),0.0 </> 0.0,h </> h,1.0 </> 1.0,203482.0 </> 203482.0,Olynyk </> Olynyk,K. Olynyk </> K. Olynyk,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/11/bead066c-cb21-2442-e594-875a3cc84c54_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/13/9b25ed11-aead-6564-1fc8-53e606e907be_1280x720.mp4,9979 </> 9980,train-9979 </> train-9980,PLAYER203482 OFF.Foul  </> PLAYER203482 Offensive Foul Turnover ,PLAYER203482 </> PLAYER203482,action14 </> action155
14,Foul,PT11M14.00S,Robinson P.FOUL (P1.T1) (R.Mott),0.0,h,1.0,1629130.0,Robinson,D. Robinson,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/14/ff9f2afe-f154-5f2e-2fbf-173947f9f177_1280x720.mp4,9981,train-9981,PLAYER1629130 P.FOUL ,PLAYER1629130,action16
16,Missed Shot,PT10M57.00S,MISS Jackson 8' Driving Layup,1.0,v,1.0,1628367.0,Jackson,J. Jackson,0.0,,,8.0,Missed,Driving Layup Shot,1610612756.0,PHX,1.0,-33.0,70.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/16/ce4ec361-ba2b-2377-34ef-8025603b440f_1280x720.mp4,9982,train-9982,MISS PLAYER1628367 8' Driving Layup,PLAYER1628367,action99
19,Foul,PT10M37.00S,Suns T.Foul (Def. 3 Sec Oubre Jr. ) (R.Mott),0.0,v,1.0,1626162.0,Oubre Jr.,K. Oubre Jr.,0.0,,,0.0,,Defense 3 Second,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/19/96108b6e-cfec-1774-9463-8d2a77ee75ab_1280x720.mp4,9983,train-9983,Suns T.Foul ,,action4
21 </> 22,Missed Shot </> Defensive Rebound,PT10M27.00S </> PT10M25.00S,MISS Waiters 2' Driving Layup </> Jackson REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203079.0 </> 1628367.0,Waiters </> Jackson,D. Waiters </> J. Jackson,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612748.0 </> 1610612756.0,MIA </> PHX,1.0 </> 1.0,-15.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/21/5fd7339c-cdb8-ac20-a390-5dba7908a206_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/22/06867409-f476-5616-235f-10bb6967fe7f_1280x720.mp4,9984 </> 9985,train-9984 </> train-9985,MISS PLAYER203079 2' Driving Layup </> PLAYER1628367 DEFENSIVE REBOUND ,PLAYER203079 </> PLAYER1628367,action99 </> action135
23,Foul,PT10M22.00S,Richardson P.FOUL (P1.T2) (C.Blair),0.0,h,1.0,1626196.0,Richardson,J. Richardson,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/23/f92d88d1-66d1-a469-a4ce-885856269b90_1280x720.mp4,9986,train-9986,PLAYER1626196 P.FOUL ,PLAYER1626196,action16
25 </> 26,Missed Shot </> Defensive Rebound,PT10M12.00S </> PT10M10.00S,MISS Booker 26' 3PT Pullup Jump Shot </> Richardson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626164.0 </> 1626196.0,Booker </> Richardson,D. Booker </> J. Richardson,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612748.0,PHX </> MIA,1.0 </> 1.0,97.0 </> 0.0,236.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/25/dd362d7c-dc52-5588-1203-cfc16743a003_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800901/26/39f9164d-2563-06cc-84d8-0daad1adce41_1280x720.mp4,9987 </> 9988,train-9987 </> train-9988,MISS PLAYER1626164 26' 3PT Pullup Jump Shot </> PLAYER1626196 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1626196,action111 </> action135
