actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Zubac vs. Powell: Tip to Gallinari,0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/4/2b40737f-836b-df30-09e5-e666b97a08e6_1280x720.mp4,40151,test-1025,Jump Ball PLAYER1627826 vs. PLAYER203939: Tip to PLAYER201568,PLAYER1627826 PLAYER203939 PLAYER201568,action41
7.0,Made Shot,PT11M46.00S,Zubac 1' Cutting Layup Shot (2 PTS) (Shamet 1 AST),1.0,h,1.0,1627826.0,Zubac,I. Zubac,2.0,0,2,1.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,-13.0,6.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/7/405448e7-dca1-bd77-8e4f-3f9b916c1025_1280x720.mp4,40152,test-1026,PLAYER1627826 1' Cutting Layup Shot (PLAYER1629013 AST),PLAYER1627826 PLAYER1629013,action46
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M24.00S </> PT11M21.00S,MISS Hardaway Jr. 24' 3PT Jump Shot </> Zubac REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203501.0 </> 1627826.0,Hardaway Jr. </> Zubac,T. Hardaway Jr. </> I. Zubac,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612746.0,DAL </> LAC,1.0 </> 1.0,227.0 </> 0.0,76.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/9/77370df0-579a-751e-1eaf-eba01c27bfe7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/10/bf6dd145-5a40-066a-0afb-3ea9c9c8298c_1280x720.mp4,40153 </> 40154,test-1027 </> test-1028,MISS PLAYER203501 24' 3PT Jump Shot </> PLAYER1627826 DEFENSIVE REBOUND ,PLAYER203501 </> PLAYER1627826,action109 </> action135
11.0 </> 13.0,Missed Shot </> Defensive Rebound,PT11M12.00S </> PT11M08.00S,MISS Zubac 9' Floating Jump Shot </> Finney-Smith REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627826.0 </> 1627827.0,Zubac </> Finney-Smith,I. Zubac </> D. Finney-Smith,0.0 </> 0.0, </> , </> ,9.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612746.0 </> 1610612742.0,LAC </> DAL,1.0 </> 1.0,27.0 </> 0.0,87.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/11/f2f36be2-4262-2d6b-5e84-7c83ec851c5a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/13/97f8dad0-e183-a0f0-6646-517760ee3529_1280x720.mp4,40155 </> 40156,test-1029 </> test-1030,MISS PLAYER1627826 9' Floating Jump Shot </> PLAYER1627827 DEFENSIVE REBOUND ,PLAYER1627826 </> PLAYER1627827,action105 </> action135
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M06.00S,MISS Nowitzki 27' 3PT Jump Shot </> Gilgeous-Alexander REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1717.0 </> 1628983.0,Nowitzki </> Gilgeous-Alexander,D. Nowitzki </> S. Gilgeous-Alexander,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612746.0,DAL </> LAC,1.0 </> 1.0,-88.0 </> 0.0,257.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/14/16e20b3e-0aab-bc2a-6d42-5aa9460cd4ae_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/15/2edf01db-5d39-9366-7a8e-dde40fb3ae39_1280x720.mp4,40157 </> 40158,test-1031 </> test-1032,MISS PLAYER1717 27' 3PT Jump Shot </> PLAYER1628983 DEFENSIVE REBOUND ,PLAYER1717 </> PLAYER1628983,action109 </> action135
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M46.00S </> PT10M43.00S,MISS Gallinari 10' Fadeaway Jumper </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201568.0 </> 1629029.0,Gallinari </> Doncic,D. Gallinari </> L. Doncic,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612746.0 </> 1610612742.0,LAC </> DAL,1.0 </> 1.0,38.0 </> 0.0,88.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/16/5f1ed6f5-8227-9f8a-c6d7-388106253aef_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/17/328574e5-ee94-7a07-e0d8-0609840fb20d_1280x720.mp4,40159 </> 40160,test-1033 </> test-1034,MISS PLAYER201568 10' Fadeaway Jumper </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER201568 </> PLAYER1629029,action103 </> action135
18.0,Made Shot,PT10M37.00S,Doncic 27' 3PT Step Back Jump Shot (3 PTS),1.0,v,1.0,1629029.0,Doncic,L. Doncic,5.0,3,2,27.0,Made,Step Back Jump shot,1610612742.0,DAL,1.0,-201.0,176.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/18/52d7a125-61a1-afca-a00d-b5592f812358_1280x720.mp4,40161,test-1035,PLAYER1629029 27' 3PT Step Back Jump Shot ,PLAYER1629029,action80
19.0 </> 21.0,Made Shot </> Foul,PT10M22.00S </> PT10M22.00S,Zubac 2' Layup (4 PTS) (Gallinari 1 AST) </> Nowitzki S.FOUL (P1.T1) (N.Buchert),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627826.0 </> 1717.0,Zubac </> Nowitzki,I. Zubac </> D. Nowitzki,7.0 </> 0.0,3 </> ,4 </> ,2.0 </> 0.0,Made </> ,Layup Shot </> Shooting,1610612746.0 </> 1610612742.0,LAC </> DAL,1.0 </> 1.0,13.0 </> 0.0,13.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/19/ab9bd2c8-410c-5cb5-a1a0-b57f2a3381c4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/21/f1b64d55-6c5d-02a3-8664-d1aacb443ae7_1280x720.mp4,40162 </> 40163,test-1036 </> test-1037,PLAYER1627826 2' Layup (PLAYER201568 AST) </> PLAYER1717 S.FOUL ,PLAYER1627826 PLAYER201568 </> PLAYER1717,action64 </> action18
24.0,Turnover,PT10M14.00S,Doncic Traveling Turnover (P1.T1),0.0,v,1.0,1629029.0,Doncic,L. Doncic,0.0,,,0.0,,Traveling,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/24/c3aa77ec-39df-c1a6-d8ac-46b9a5173825_1280x720.mp4,40164,test-1038,PLAYER1629029 Traveling Turnover ,PLAYER1629029,action163
25.0,Made Shot,PT10M03.00S,Gallinari 25' 3PT Jump Shot (3 PTS) (Beverley 1 AST),1.0,h,1.0,201568.0,Gallinari,D. Gallinari,11.0,3,8,25.0,Made,Jump Shot,1610612746.0,LAC,1.0,2.0,253.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/25/adc8ea98-e3ab-6dd4-bf67-6c296c0814e8_1280x720.mp4,40165,test-1039,PLAYER201568 25' 3PT Jump Shot (PLAYER201976 AST),PLAYER201568 PLAYER201976,action63
27.0,Made Shot,PT09M47.00S,Powell 3PT Jump Shot (3 PTS) (Doncic 1 AST),1.0,v,1.0,203939.0,Powell,D. Powell,14.0,6,8,0.0,Made,Jump Shot,1610612742.0,DAL,1.0,226.0,28.0,https://videos.nba.com/nba/pbp/media/2019/02/25/0021800907/27/2f675a8d-93e2-96e9-00e0-445aab33e6f1_1280x720.mp4,40166,test-1040,PLAYER203939 3PT Jump Shot (PLAYER1629029 AST),PLAYER203939 PLAYER1629029,action63
