actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4,Jump Ball,PT12M00.00S,Jump Ball Adebayo vs. Durant: Tip to Green,0.0,h,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/4/51acc1da-0af5-e703-d494-97554bd326c1_1280x720.mp4,6553,train-6553,Jump Ball PLAYER1628389 vs. PLAYER201142: Tip to PLAYER203110,PLAYER1628389 PLAYER201142 PLAYER203110,action41
7,Made Shot,PT11M40.00S,Thompson 26' 3PT Jump Shot (3 PTS) (Durant 1 AST),1.0,v,1.0,202691.0,Thompson,K. Thompson,3.0,3,0,26.0,Made,Jump Shot,1610612744.0,GSW,1.0,154.0,205.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/7/8fd0c528-fe28-9509-9e2e-d7679bac6219_1280x720.mp4,6554,train-6554,PLAYER202691 26' 3PT Jump Shot (PLAYER201142 AST),PLAYER202691 PLAYER201142,action63
9,Foul,PT11M26.00S,Green P.FOUL (P1.T1) (J.Phillips),0.0,v,1.0,203110.0,Green,D. Green,0.0,,,0.0,,Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/9/0c21407a-199f-dc09-4873-ed720579ee52_1280x720.mp4,6555,train-6555,PLAYER203110 P.FOUL ,PLAYER203110,action16
11,Foul,PT11M23.00S,Curry P.FOUL (P1.T2) (J.Phillips),0.0,v,1.0,201939.0,Curry,S. Curry,0.0,,,0.0,,Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/11/ca7f1d20-bd2c-7c80-9c3d-e7b45ddf23a3_1280x720.mp4,6556,train-6556,PLAYER201939 P.FOUL ,PLAYER201939,action16
13,Made Shot,PT11M12.00S,Olynyk 24' 3PT Jump Shot (3 PTS) (Richardson 1 AST),1.0,h,1.0,203482.0,Olynyk,K. Olynyk,6.0,3,3,24.0,Made,Jump Shot,1610612748.0,MIA,1.0,-192.0,151.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/13/246680d7-f0e1-4f99-79fc-f79adb078893_1280x720.mp4,6557,train-6557,PLAYER203482 24' 3PT Jump Shot (PLAYER1626196 AST),PLAYER203482 PLAYER1626196,action63
15 </> 16,Missed Shot </> Defensive Rebound,PT10M59.00S </> PT10M57.00S,MISS Curry 25' 3PT Jump Shot </> Adebayo REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201939.0 </> 1628389.0,Curry </> Adebayo,S. Curry </> B. Adebayo,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612748.0,GSW </> MIA,1.0 </> 1.0,176.0 </> 0.0,180.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/15/b0e4cf1c-c07b-fcbe-905f-0d8addb1cd93_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/16/cbb16cb0-c267-b120-05c4-fed00564c4c8_1280x720.mp4,6558 </> 6559,train-6558 </> train-6559,MISS PLAYER201939 25' 3PT Jump Shot </> PLAYER1628389 DEFENSIVE REBOUND ,PLAYER201939 </> PLAYER1628389,action109 </> action135
17,Foul,PT10M53.00S,Looney S.FOUL (P1.T3) (H.Workman),0.0,v,1.0,1626172.0,Looney,K. Looney,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/17/36e9c64c-b89a-1d76-3e02-79b0d27df2df_1280x720.mp4,6560,train-6560,PLAYER1626172 S.FOUL ,PLAYER1626172,action18
22 </> 23,Missed Shot </> Defensive Rebound,PT10M33.00S </> PT10M30.00S,MISS Thompson 3PT Jump Shot </> Winslow REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202691.0 </> 1626159.0,Thompson </> Winslow,K. Thompson </> J. Winslow,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612748.0,GSW </> MIA,1.0 </> 1.0,-232.0 </> 0.0,10.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/22/473772d2-3de4-dcdb-f4c5-b72fcd9b74ab_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/23/1e1f8c33-c7f5-fa23-68bb-87af6521979f_1280x720.mp4,6561 </> 6562,train-6561 </> train-6562,MISS PLAYER202691 3PT Jump Shot </> PLAYER1626159 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER1626159,action109 </> action135
24 </> 25,Missed Shot </> Defensive Rebound,PT10M17.00S </> PT10M15.00S,MISS Waiters 2' Driving Layup </> Curry REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203079.0 </> 201939.0,Waiters </> Curry,D. Waiters </> S. Curry,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612748.0 </> 1610612744.0,MIA </> GSW,1.0 </> 1.0,14.0 </> 0.0,10.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/24/5d1201ec-7948-b7db-d255-a4f843b579f0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/25/18567773-6d8b-c120-3359-2f41ccf59287_1280x720.mp4,6563 </> 6564,train-6563 </> train-6564,MISS PLAYER203079 2' Driving Layup </> PLAYER201939 DEFENSIVE REBOUND ,PLAYER203079 </> PLAYER201939,action99 </> action135
26,Made Shot,PT10M13.00S,Green 2' Running Finger Roll Layup (2 PTS),1.0,v,1.0,203110.0,Green,D. Green,9.0,5,4,2.0,Made,Running Finger Roll Layup Shot,1610612744.0,GSW,1.0,-11.0,16.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/26/d4e23a33-8819-ff4c-aef4-bc66fd1d6a23_1280x720.mp4,6565,train-6565,PLAYER203110 2' Running Finger Roll Layup ,PLAYER203110,action73
27,Turnover,PT09M54.00S,Waiters Bad Pass Turnover (P1.T1),0.0,h,1.0,203079.0,Waiters,D. Waiters,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/27/f11190b7-5221-96d1-2fb8-4286e95e8b97_1280x720.mp4,6566,train-6566,PLAYER203079 Bad Pass Turnover ,PLAYER203079,action143
29,Made Shot,PT09M49.00S,Curry 2' Running Layup (2 PTS),1.0,v,1.0,201939.0,Curry,S. Curry,11.0,7,4,2.0,Made,Running Layup Shot,1610612744.0,GSW,1.0,-16.0,7.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/29/7fab2ea4-351a-e902-780b-ebff259af007_1280x720.mp4,6567,train-6567,PLAYER201939 2' Running Layup ,PLAYER201939,action75
30,Made Shot,PT09M32.00S,Richardson 26' 3PT Jump Shot (3 PTS) (Winslow 1 AST),1.0,h,1.0,1626196.0,Richardson,J. Richardson,14.0,7,7,26.0,Made,Jump Shot,1610612748.0,MIA,1.0,115.0,234.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/30/3a7a19a2-8f02-2c71-daba-5d4a739c0e47_1280x720.mp4,6568,train-6568,PLAYER1626196 26' 3PT Jump Shot (PLAYER1626159 AST),PLAYER1626196 PLAYER1626159,action63
32,Foul,PT09M10.00S,Waiters P.FOUL (P1.T1) (J.Phillips),0.0,h,1.0,203079.0,Waiters,D. Waiters,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800915/32/8a7049a6-b9ce-20d3-8f0d-1f418c9f760d_1280x720.mp4,6569,train-6569,PLAYER203079 P.FOUL ,PLAYER203079,action16
