actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Zubac: Tip to Favors,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/4/fb5eb6a0-72da-5643-289f-782718c40426_1280x720.mp4,32899,train-32899,Jump Ball PLAYER203497 vs. PLAYER1627826: Tip to PLAYER202324,PLAYER203497 PLAYER1627826 PLAYER202324,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M47.00S </> PT11M45.00S,MISS Favors 3' Alley Oop Layup </> Zubac REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202324.0 </> 1627826.0,Favors </> Zubac,D. Favors </> I. Zubac,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Alley Oop Layup shot </> Unknown,1610612762.0 </> 1610612746.0,UTA </> LAC,1.0 </> 1.0,-33.0 </> 0.0,2.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/7/643631aa-bc1d-2fc2-119e-e95a07831cfa_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/8/3c266258-4e54-bda1-7fda-f2df5a6cc03b_1280x720.mp4,32900 </> 32901,train-32900 </> train-32901,MISS PLAYER202324 3' Alley Oop Layup </> PLAYER1627826 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER1627826,action89 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M31.00S </> PT11M28.00S,MISS Shamet 24' 3PT Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629013.0 </> 203497.0,Shamet </> Gobert,L. Shamet </> R. Gobert,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612762.0,LAC </> UTA,1.0 </> 1.0,-228.0 </> 0.0,68.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/9/ec84b3f9-a9c4-e65e-3b78-26fbe148dd44_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/10/1880f073-02ad-73ec-d1bc-0095d2fb046b_1280x720.mp4,32902 </> 32903,train-32902 </> train-32903,MISS PLAYER1629013 24' 3PT Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER1629013 </> PLAYER203497,action109 </> action135
11.0,Foul,PT11M21.00S,Beverley S.FOUL (P1.T1) (M.Boland),0.0,v,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Shooting,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/11/b2c1b41d-effa-3e3a-4092-c518cb604d2f_1280x720.mp4,32904,train-32904,PLAYER201976 S.FOUL ,PLAYER201976,action18
15.0,Made Shot,PT11M11.00S,Gilgeous-Alexander 15' Pullup Jump Shot (2 PTS),1.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,4.0,2,2,15.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,74.0,134.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/15/4ebdc4d0-8471-0a9c-453a-cc03e58698d8_1280x720.mp4,32905,train-32905,PLAYER1628983 15' Pullup Jump Shot ,PLAYER1628983,action65
16.0,Made Shot,PT10M57.00S,Favors 19' Pullup Jump Shot (2 PTS) (Mitchell 1 AST),1.0,h,1.0,202324.0,Favors,D. Favors,6.0,2,4,19.0,Made,Pullup Jump shot,1610612762.0,UTA,1.0,-176.0,79.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/16/92ce7c38-86c2-c4af-6584-076c2d502f48_1280x720.mp4,32906,train-32906,PLAYER202324 19' Pullup Jump Shot (PLAYER1628378 AST),PLAYER202324 PLAYER1628378,action65
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M44.00S </> PT10M41.00S,MISS Zubac 20' Jump Shot </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627826.0 </> 202324.0,Zubac </> Favors,I. Zubac </> D. Favors,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612762.0,LAC </> UTA,1.0 </> 1.0,17.0 </> 0.0,197.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/18/8ad7db10-317e-9c0e-6820-e5a459bbcba1_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/19/0e32095b-ca87-aea2-f4f7-f514b9d65f60_1280x720.mp4,32907 </> 32908,train-32907 </> train-32908,MISS PLAYER1627826 20' Jump Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER1627826 </> PLAYER202324,action109 </> action135
20.0 </> 21.0,Missed Shot </> Offensive Rebound,PT10M31.00S </> PT10M28.00S,MISS Mitchell 8' Floating Jump Shot </> Favors REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> h,1.0 </> 1.0,1628378.0 </> 202324.0,Mitchell </> Favors,D. Mitchell </> D. Favors,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,-2.0 </> 0.0,83.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/20/81f29672-503a-60cf-bab2-cc048d787ca8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/21/b56ccbdf-a016-ae00-d83e-ac4f97eee2fa_1280x720.mp4,32909 </> 32910,train-32909 </> train-32910,MISS PLAYER1628378 8' Floating Jump Shot </> PLAYER202324 OFFENSIVE REBOUND ,PLAYER1628378 </> PLAYER202324,action105 </> action135
22.0,Turnover,PT10M23.00S,Rubio Bad Pass Turnover (P1.T1),0.0,h,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/22/2b25e148-db53-65a9-5292-b6b2d29ac7fc_1280x720.mp4,32911,train-32911,PLAYER201937 Bad Pass Turnover ,PLAYER201937,action143
24.0,Made Shot,PT10M18.00S,Zubac 2' Cutting Dunk Shot (2 PTS) (Beverley 1 AST),1.0,v,1.0,1627826.0,Zubac,I. Zubac,8.0,4,4,2.0,Made,Cutting Dunk Shot,1610612746.0,LAC,1.0,5.0,20.0,https://videos.nba.com/nba/pbp/media/2019/02/27/0021800919/24/5d31aca0-1145-7033-d551-4bbed04df52c_1280x720.mp4,32912,train-32912,PLAYER1627826 2' Cutting Dunk Shot (PLAYER201976 AST),PLAYER1627826 PLAYER201976,action44
