actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Bolden vs. Cousins: Tip to Simmons,0.0,h,1.0,1628413.0,Bolden,J. Bolden,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/4/99464326-41dd-e7ab-80d0-1444af8a6a25_1280x720.mp4,2030,train-2030,Jump Ball PLAYER1628413 vs. PLAYER202326: Tip to Simmons,PLAYER1628413 PLAYER202326,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M52.00S </> PT11M51.00S,MISS Simmons 1' Layup </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627732.0 </> 203110.0,Simmons </> Green,B. Simmons </> D. Green,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612755.0 </> 1610612744.0,PHI </> GSW,1.0 </> 1.0,3.0 </> 0.0,11.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/7/d7f1e0b3-6d38-1cc1-b071-f5dc3acdeb0e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/8/2c2f1f9e-ead5-c1ca-9b20-96e7f60462c8_1280x720.mp4,2031 </> 2032,train-2031 </> train-2032,MISS Simmons 1' Layup </> PLAYER203110 DEFENSIVE REBOUND , </> PLAYER203110,action110 </> action135
9.0,Missed Shot,PT11M37.00S,MISS Cousins 12' Jump Shot,1.0,v,1.0,202326.0,Cousins,D. Cousins,0.0,,,12.0,Missed,Jump Shot,1610612744.0,GSW,1.0,114.0,27.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/9/40974674-a441-02f0-9231-2aad8ea9e190_1280x720.mp4,2033,train-2033,MISS PLAYER202326 12' Jump Shot,PLAYER202326,action109
10.0,Defensive Rebound,PT11M33.00S,Harris REBOUND (Off:0 Def:1),0.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/10/a16683c9-5353-c614-b4d3-308a3a32bf61_1280x720.mp4,2034,train-2034,PLAYER202699 DEFENSIVE REBOUND ,PLAYER202699,action135
11.0 </> 13.0,Made Shot </> Foul,PT11M25.00S </> PT11M25.00S,Bolden Driving Reverse Layup (2 PTS) (Redick 1 AST) </> McKinnie S.FOUL (P1.T1) (K.Scott),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628413.0 </> 1628035.0,Bolden </> McKinnie,J. Bolden </> A. McKinnie,2.0 </> 0.0,0 </> ,2 </> ,0.0 </> 0.0,Made </> ,Driving Reverse Layup Shot </> Shooting,1610612755.0 </> 1610612744.0,PHI </> GSW,1.0 </> 1.0,-2.0 </> 0.0,4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/11/22a7b03a-4cb1-b23e-e5b2-3197c3d0a499_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/13/af748efc-7e31-f5cc-4b14-2966fbb534e5_1280x720.mp4,2035 </> 2036,train-2035 </> train-2036,PLAYER1628413 Driving Reverse Layup (PLAYER200755 AST) </> PLAYER1628035 S.FOUL ,PLAYER1628413 PLAYER200755 </> PLAYER1628035,action55 </> action18
16.0,Missed Shot,PT11M10.00S,MISS Curry 17' Pullup Jump Shot,1.0,v,1.0,201939.0,Curry,S. Curry,0.0,,,17.0,Missed,Pullup Jump shot,1610612744.0,GSW,1.0,-172.0,28.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/16/f8363c23-43ca-3cd4-2e7b-66e0075e7728_1280x720.mp4,2037,train-2037,MISS PLAYER201939 17' Pullup Jump Shot,PLAYER201939,action111
17.0,Defensive Rebound,PT11M06.00S,Simmons REBOUND (Off:0 Def:1),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/17/ad544a61-e3bc-9414-e4b5-28620a55d983_1280x720.mp4,2038,train-2038,Simmons DEFENSIVE REBOUND ,,action135
18.0,Turnover,PT10M59.00S,Simmons Bad Pass Turnover (P1.T1),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Bad Pass,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/18/fe9d9915-4177-16c9-024f-b2bc6ed0f63c_1280x720.mp4,2039,train-2039,Simmons Bad Pass Turnover ,,action143
20.0,Missed Shot,PT10M50.00S,MISS Durant 28' 3PT Pullup Jump Shot,1.0,v,1.0,201142.0,Durant,K. Durant,0.0,,,28.0,Missed,Pullup Jump shot,1610612744.0,GSW,1.0,-45.0,278.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/20/7e0360d8-91d7-980c-71ac-8928e8a2412b_1280x720.mp4,2040,train-2040,MISS PLAYER201142 28' 3PT Pullup Jump Shot,PLAYER201142,action111
21.0,Defensive Rebound,PT10M46.00S,Butler REBOUND (Off:0 Def:1),0.0,h,1.0,202710.0,Butler,J. Butler,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/21/4ae7d527-dfd8-7247-25e6-3e15da08a588_1280x720.mp4,2041,train-2041,PLAYER202710 DEFENSIVE REBOUND ,PLAYER202710,action135
22.0,Made Shot,PT10M35.00S,Redick 20' Pullup Jump Shot (2 PTS) (Butler 1 AST),1.0,h,1.0,200755.0,Redick,J. Redick,5.0,0,5,20.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,179.0,98.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/22/6e61dae1-00de-deae-a8b8-fcbe8989743e_1280x720.mp4,2042,train-2042,PLAYER200755 20' Pullup Jump Shot (PLAYER202710 AST),PLAYER200755 PLAYER202710,action65
24.0,Made Shot,PT10M19.00S,Curry 26' 3PT Jump Shot (3 PTS) (Green 1 AST),1.0,v,1.0,201939.0,Curry,S. Curry,8.0,3,5,26.0,Made,Jump Shot,1610612744.0,GSW,1.0,206.0,165.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/24/ead397df-f72d-f3ce-05bf-ba30e60349cc_1280x720.mp4,2043,train-2043,PLAYER201939 26' 3PT Jump Shot (PLAYER203110 AST),PLAYER201939 PLAYER203110,action63
26.0,Made Shot,PT09M57.00S,Harris 25' 3PT Jump Shot (3 PTS) (Bolden 1 AST),1.0,h,1.0,202699.0,Harris,T. Harris,11.0,3,8,25.0,Made,Jump Shot,1610612755.0,PHI,1.0,-38.0,243.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/26/da027d10-d802-b61a-3ff0-84c1be8e626b_1280x720.mp4,2044,train-2044,PLAYER202699 25' 3PT Jump Shot (PLAYER1628413 AST),PLAYER202699 PLAYER1628413,action63
28.0,Missed Shot,PT09M46.00S,MISS Cousins 3' Hook Shot,1.0,v,1.0,202326.0,Cousins,D. Cousins,0.0,,,3.0,Missed,Hook Shot,1610612744.0,GSW,1.0,2.0,29.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/28/8a3ad3a1-e902-b3a5-3580-34287bf67d16_1280x720.mp4,2045,train-2045,MISS PLAYER202326 3' Hook Shot,PLAYER202326,action107
30.0,Defensive Rebound,PT09M43.00S,Bolden REBOUND (Off:0 Def:1),0.0,h,1.0,1628413.0,Bolden,J. Bolden,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/30/fac6412e-6906-9876-8436-fc6e4f038183_1280x720.mp4,2046,train-2046,PLAYER1628413 DEFENSIVE REBOUND ,PLAYER1628413,action135
31.0,Turnover,PT09M38.00S,Simmons Bad Pass Turnover (P2.T2),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Bad Pass,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/31/96a6cc3b-1a55-038d-63a8-23ff5a496111_1280x720.mp4,2047,train-2047,Simmons Bad Pass Turnover ,,action143
33.0 </> 34.0,Missed Shot </> Defensive Rebound,PT09M33.00S </> PT09M31.00S,MISS Curry 7' Driving Floating Bank Jump Shot </> Simmons REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,201939.0 </> 1627732.0,Curry </> Simmons,S. Curry </> B. Simmons,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612744.0 </> 1610612755.0,GSW </> PHI,1.0 </> 1.0,-1.0 </> 0.0,65.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/33/e6d72f5b-84ee-3098-5d69-7399aaf84919_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/34/07027cd6-ec00-0bea-528d-0501ba9c398e_1280x720.mp4,2048 </> 2049,train-2048 </> train-2049,MISS PLAYER201939 7' Driving Floating Bank Jump Shot </> Simmons DEFENSIVE REBOUND ,PLAYER201939 </> ,action96 </> action135
35.0,Missed Shot,PT09M27.00S,MISS Harris 27' 3PT Jump Shot,1.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,27.0,Missed,Jump Shot,1610612755.0,PHI,1.0,130.0,236.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/35/842489c0-92e2-c94b-1f16-dfcf5b7f4245_1280x720.mp4,2050,train-2050,MISS PLAYER202699 27' 3PT Jump Shot,PLAYER202699,action109
36.0,Defensive Rebound,PT09M24.00S,Curry REBOUND (Off:0 Def:1),0.0,v,1.0,201939.0,Curry,S. Curry,0.0,,,0.0,,Unknown,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/36/15847ca9-f31a-78ff-cd5e-2964a87b0609_1280x720.mp4,2051,train-2051,PLAYER201939 DEFENSIVE REBOUND ,PLAYER201939,action135
37.0,Foul,PT09M21.00S,Redick S.FOUL (P1.T1) (N.Buchert),0.0,h,1.0,200755.0,Redick,J. Redick,0.0,,,0.0,,Shooting,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/37/340b6212-a27e-5bf1-d4b6-ea3459b7e329_1280x720.mp4,2052,train-2052,PLAYER200755 S.FOUL ,PLAYER200755,action18
41.0,Foul,PT09M06.00S,Curry S.FOUL (P1.T2) (Z.Zarba),0.0,v,1.0,201939.0,Curry,S. Curry,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800938/41/cb6a1566-b19e-ba94-4a98-8749dfa6f873_1280x720.mp4,2053,train-2053,PLAYER201939 S.FOUL ,PLAYER201939,action18
