actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Ingram: Tip to Rondo,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/4/cbafe465-d49e-f242-5d4e-9deda890e3b3_1280x720.mp4,41893,test-2767,Jump Ball PLAYER1629028 vs. PLAYER1627742: Tip to PLAYER200765,PLAYER1629028 PLAYER1627742 PLAYER200765,action41
7.0,Made Shot,PT11M42.00S,Bullock 3PT Jump Shot (3 PTS) (James 1 AST),1.0,v,1.0,203493.0,Bullock,R. Bullock,3.0,3,0,0.0,Made,Jump Shot,1610612747.0,LAL,1.0,-228.0,-15.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/7/1112ce03-48fb-199c-caaa-db1fcbd9305b_1280x720.mp4,41894,test-2768,PLAYER203493 3PT Jump Shot (PLAYER2544 AST),PLAYER203493 PLAYER2544,action63
9.0,Made Shot,PT11M21.00S,Ayton 9' Turnaround Jump Shot (2 PTS),1.0,h,1.0,1629028.0,Ayton,D. Ayton,5.0,3,2,9.0,Made,Turnaround Jump Shot,1610612756.0,PHX,1.0,-76.0,55.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/9/66837927-46a9-ccbe-1a1f-3a1c66eee0de_1280x720.mp4,41895,test-2769,PLAYER1629028 9' Turnaround Jump Shot ,PLAYER1629028,action87
10.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M02.00S </> PT11M00.00S,MISS Ingram 10' Turnaround Fadeaway Shot </> Oubre Jr. REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627742.0 </> 1626162.0,Ingram </> Oubre Jr.,B. Ingram </> K. Oubre Jr.,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Turnaround Fadeaway shot </> Unknown,1610612747.0 </> 1610612756.0,LAL </> PHX,1.0 </> 1.0,-98.0 </> 0.0,20.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/10/d4745410-2907-9afc-1144-74b504347b0b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/11/7d5c719c-05d2-5e7a-9ff6-aee16648af30_1280x720.mp4,41896 </> 41897,test-2770 </> test-2771,MISS PLAYER1627742 10' Turnaround Fadeaway Shot </> PLAYER1626162 DEFENSIVE REBOUND ,PLAYER1627742 </> PLAYER1626162,action131 </> action135
12.0,Made Shot,PT10M46.00S,Ayton 14' Jump Shot (4 PTS),1.0,h,1.0,1629028.0,Ayton,D. Ayton,7.0,3,4,14.0,Made,Jump Shot,1610612756.0,PHX,1.0,117.0,70.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/12/6dfde360-cbfb-336a-1098-22b70b1d1737_1280x720.mp4,41898,test-2772,PLAYER1629028 14' Jump Shot ,PLAYER1629028,action63
13.0,Made Shot,PT10M33.00S,James 1' Cutting Dunk Shot (2 PTS) (Bullock 1 AST),1.0,v,1.0,2544.0,James,L. James,9.0,5,4,1.0,Made,Cutting Dunk Shot,1610612747.0,LAL,1.0,5.0,1.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/13/f78f8139-e6df-9685-ba06-400b35acd745_1280x720.mp4,41899,test-2773,PLAYER2544 1' Cutting Dunk Shot (PLAYER203493 AST),PLAYER2544 PLAYER203493,action44
15.0,Foul,PT10M13.00S,Lakers T.Foul (Def. 3 Sec Bullock ) (E.Dalen),0.0,v,1.0,203493.0,Bullock,R. Bullock,0.0,,,0.0,,Defense 3 Second,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/15/63719001-edcb-1b46-c3bb-4cf3b9abc2ab_1280x720.mp4,41900,test-2774,Lakers T.Foul ,,action4
17.0,Turnover,PT10M02.00S,Booker Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,h,1.0,1626164.0,Booker,D. Booker,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/17/e535ea7d-29a5-fd21-3c7f-54fe273315f0_1280x720.mp4,41901,test-2775,PLAYER1626164 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER1626164,action157
18.0,Made Shot,PT09M43.00S,Rondo 5' Driving Floating Bank Jump Shot (2 PTS),1.0,v,1.0,200765.0,Rondo,R. Rondo,12.0,7,5,5.0,Made,Driving Floating Bank Jump Shot,1610612747.0,LAL,1.0,43.0,29.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/18/f8d37e74-8ebb-e0b6-0ad3-9c401ada4ca0_1280x720.mp4,41902,test-2776,PLAYER200765 5' Driving Floating Bank Jump Shot ,PLAYER200765,action50
20.0,Made Shot,PT09M24.00S,Oubre Jr. 8' Pullup Jump Shot (2 PTS),1.0,h,1.0,1626162.0,Oubre Jr.,K. Oubre Jr.,14.0,7,7,8.0,Made,Pullup Jump shot,1610612756.0,PHX,1.0,-73.0,32.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/20/a6c7e510-9712-5c12-88d2-3e4d8a54d444_1280x720.mp4,41903,test-2777,PLAYER1626162 8' Pullup Jump Shot ,PLAYER1626162,action65
21.0,Made Shot,PT09M17.00S,Kuzma 1' Running Layup (2 PTS) (Rondo 1 AST),1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,16.0,9,7,1.0,Made,Running Layup Shot,1610612747.0,LAL,1.0,-13.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/21/e0d07fea-d356-2b0f-8178-ea3b4fc8ffc7_1280x720.mp4,41904,test-2778,PLAYER1628398 1' Running Layup (PLAYER200765 AST),PLAYER1628398 PLAYER200765,action75
22.0,Made Shot,PT09M08.00S,Bender 3PT Jump Shot (3 PTS) (Booker 1 AST),1.0,h,1.0,1627733.0,Bender,D. Bender,19.0,9,10,0.0,Made,Jump Shot,1610612756.0,PHX,1.0,-231.0,31.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/22/5a5ff3a0-3c87-adfd-d70c-38a441c3dd43_1280x720.mp4,41905,test-2779,PLAYER1627733 3PT Jump Shot (PLAYER1626164 AST),PLAYER1627733 PLAYER1626164,action63
24.0 </> 25.0,Missed Shot </> Defensive Rebound,PT08M54.00S </> PT08M51.00S,MISS James 25' 3PT Jump Shot </> Bender REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,2544.0 </> 1627733.0,James </> Bender,L. James </> D. Bender,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612747.0 </> 1610612756.0,LAL </> PHX,1.0 </> 1.0,213.0 </> 0.0,134.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/24/5713669e-ba80-6369-d8c6-bed96b453a82_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/25/f8ccd9d4-9763-aede-dd77-09279d145ceb_1280x720.mp4,41906 </> 41907,test-2780 </> test-2781,MISS PLAYER2544 25' 3PT Jump Shot </> PLAYER1627733 DEFENSIVE REBOUND ,PLAYER2544 </> PLAYER1627733,action109 </> action135
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT08M29.00S </> PT08M25.00S,MISS Booker 29' 3PT Pullup Jump Shot </> Ingram REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 1627742.0,Booker </> Ingram,D. Booker </> B. Ingram,0.0 </> 0.0, </> , </> ,29.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612747.0,PHX </> LAL,1.0 </> 1.0,-13.0 </> 0.0,294.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/26/a6a43571-3254-478b-0b90-9364b751fd58_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/27/cf6a914a-47f4-926c-4b9e-c23508bcaec7_1280x720.mp4,41908 </> 41909,test-2782 </> test-2783,MISS PLAYER1626164 29' 3PT Pullup Jump Shot </> PLAYER1627742 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1627742,action111 </> action135
28.0,Foul,PT08M23.00S,Johnson S.FOUL (P1.T1) (E.Malloy),0.0,h,1.0,204020.0,Johnson,T. Johnson,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/28/5c8d8b62-5337-bff5-6f38-a08340df1283_1280x720.mp4,41910,test-2784,PLAYER204020 S.FOUL ,PLAYER204020,action18
33.0,Offensive Rebound,PT08M21.00S,Ingram REBOUND (Off:1 Def:1),0.0,v,1.0,1627742.0,Ingram,B. Ingram,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/33/7846a9be-ca1a-e434-1eb1-d46c4ae51f99_1280x720.mp4,41911,test-2785,PLAYER1627742 OFFENSIVE REBOUND ,PLAYER1627742,action135
62.0,Turnover,PT08M21.00S,Ingram Out of Bounds Lost Ball Turnover (P1.T1),0.0,v,1.0,1627742.0,Ingram,B. Ingram,0.0,,,0.0,,Out of Bounds Lost Ball Turnover,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/62/bf8d781c-b48e-fe06-77ed-5502e690b67d_1280x720.mp4,41912,test-2786,PLAYER1627742 Out of Bounds Lost Ball Turnover ,PLAYER1627742,action158
35.0,Foul,PT08M09.00S,Kuzma S.FOUL (P1.T1) (E.Malloy),0.0,v,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/35/e4063f24-6537-416b-7371-c0781eab12b1_1280x720.mp4,41913,test-2787,PLAYER1628398 S.FOUL ,PLAYER1628398,action18
40.0,Missed Shot,PT07M55.00S,MISS Rondo 4' Driving Hook Shot,1.0,v,1.0,200765.0,Rondo,R. Rondo,0.0,,,4.0,Missed,Driving Hook Shot,1610612747.0,LAL,1.0,39.0,19.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/40/2862299c-98cd-b587-3f4e-7446fe543efc_1280x720.mp4,41914,test-2788,MISS PLAYER200765 4' Driving Hook Shot,PLAYER200765,action98
41.0,Foul,PT07M55.00S,Johnson L.B.FOUL (P2.T2) (E.Dalen),0.0,h,1.0,204020.0,Johnson,T. Johnson,0.0,,,0.0,,Loose Ball,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/41/9535dd07-b53f-835f-47f6-e9e7eb4080c6_1280x720.mp4,41915,test-2789,PLAYER204020 L.B.FOUL ,PLAYER204020,action12
46.0,Turnover,PT07M45.00S,Bullock Bad Pass Turnover (P1.T2),0.0,v,1.0,203493.0,Bullock,R. Bullock,0.0,,,0.0,,Bad Pass,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/46/3f9501a7-f971-ad41-ca9e-2d479bcea0f5_1280x720.mp4,41916,test-2790,PLAYER203493 Bad Pass Turnover ,PLAYER203493,action143
48.0,Made Shot,PT07M40.00S,Oubre Jr. 1' Running Finger Roll Layup (4 PTS) (Melton 1 AST),1.0,h,1.0,1626162.0,Oubre Jr.,K. Oubre Jr.,23.0,10,13,1.0,Made,Running Finger Roll Layup Shot,1610612756.0,PHX,1.0,6.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/02/0021800942/48/b7ee1169-9869-3bbc-edc1-ab15b8ea20c5_1280x720.mp4,41917,test-2791,PLAYER1626162 1' Running Finger Roll Layup (PLAYER1629001 AST),PLAYER1626162 PLAYER1629001,action73
