actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Powell: Tip to Russell,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/4/f3f94696-26e0-51fa-b9b4-21a48c75e070_1280x720.mp4,23165,train-23165,Jump Ball PLAYER1628386 vs. PLAYER203939: Tip to PLAYER1626156,PLAYER1628386 PLAYER203939 PLAYER1626156,action41
7,Made Shot,PT11M45.00S,Kurucs 1' Cutting Dunk Shot (2 PTS) (Russell 1 AST),1.0,h,1.0,1629066.0,Kurucs,R. Kurucs,2.0,0,2,1.0,Made,Cutting Dunk Shot,1610612751.0,BKN,1.0,-3.0,10.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/7/1fcedf29-9a4a-cfcd-3021-e6c39094992d_1280x720.mp4,23166,train-23166,PLAYER1629066 1' Cutting Dunk Shot (PLAYER1626156 AST),PLAYER1629066 PLAYER1626156,action44
9 </> 10,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M23.00S,MISS Nowitzki 20' Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1717.0 </> 1626156.0,Nowitzki </> Russell,D. Nowitzki </> D. Russell,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612751.0,DAL </> BKN,1.0 </> 1.0,7.0 </> 0.0,195.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/9/ad7d147b-2cff-9c11-5a78-55c048c9bf51_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/10/d09c3f7e-1f91-5473-4fae-3af157902581_1280x720.mp4,23167 </> 23168,train-23167 </> train-23168,MISS PLAYER1717 20' Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1717 </> PLAYER1626156,action109 </> action135
11,Made Shot,PT11M17.00S,Harris 18' Pullup Jump Shot (2 PTS) (Russell 2 AST),1.0,h,1.0,203925.0,Harris,J. Harris,4.0,0,4,18.0,Made,Pullup Jump shot,1610612751.0,BKN,1.0,6.0,176.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/11/693768d7-1120-6f9f-e05e-b0377f3c10b3_1280x720.mp4,23169,train-23169,PLAYER203925 18' Pullup Jump Shot (PLAYER1626156 AST),PLAYER203925 PLAYER1626156,action65
13,Made Shot,PT11M02.00S,Powell 25' 3PT Jump Shot (3 PTS) (Nowitzki 1 AST),1.0,v,1.0,203939.0,Powell,D. Powell,7.0,3,4,25.0,Made,Jump Shot,1610612742.0,DAL,1.0,39.0,245.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/13/267d8b50-d5b4-ca08-b1fb-1ac0ab3c07db_1280x720.mp4,23170,train-23170,PLAYER203939 25' 3PT Jump Shot (PLAYER1717 AST),PLAYER203939 PLAYER1717,action63
15 </> 16,Missed Shot </> Defensive Rebound,PT10M49.00S </> PT10M44.00S,MISS Russell 25' 3PT Jump Shot </> Powell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626156.0 </> 203939.0,Russell </> Powell,D. Russell </> D. Powell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,127.0 </> 0.0,214.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/15/18e89a45-5ea2-fbf0-9f9d-8eba285be220_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/16/06e4df13-0e93-07be-4966-bc1277043ecb_1280x720.mp4,23171 </> 23172,train-23171 </> train-23172,MISS PLAYER1626156 25' 3PT Jump Shot </> PLAYER203939 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER203939,action109 </> action135
17,Turnover,PT10M28.00S,Brunson Bad Pass Turnover (P1.T1),0.0,v,1.0,1628973.0,Brunson,J. Brunson,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/17/177ce778-5c38-35cd-5535-9f076728abef_1280x720.mp4,23173,train-23173,PLAYER1628973 Bad Pass Turnover ,PLAYER1628973,action143
19 </> 21,Foul </> Turnover,PT10M23.00S </> PT10M23.00S,Russell OFF.Foul (P1) (B.Forte) </> Russell Offensive Foul Turnover (P1.T1),0.0 </> 0.0,h </> h,1.0 </> 1.0,1626156.0 </> 1626156.0,Russell </> Russell,D. Russell </> D. Russell,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/19/5fc79e01-0e2d-5400-0efe-1b0d270a142b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/21/4cf9e9af-b713-7bc2-fbcd-e078d058ba74_1280x720.mp4,23174 </> 23175,train-23174 </> train-23175,PLAYER1626156 OFF.Foul  </> PLAYER1626156 Offensive Foul Turnover ,PLAYER1626156 </> PLAYER1626156,action14 </> action155
22,Made Shot,PT10M10.00S,Brunson 15' Floating Jump Shot (2 PTS) (Powell 1 AST),1.0,v,1.0,1628973.0,Brunson,J. Brunson,9.0,5,4,15.0,Made,Floating Jump shot,1610612742.0,DAL,1.0,65.0,135.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/22/e6fd2e16-46eb-57f6-baf7-95d419c873e7_1280x720.mp4,23176,train-23176,PLAYER1628973 15' Floating Jump Shot (PLAYER203939 AST),PLAYER1628973 PLAYER203939,action59
24 </> 26,Foul </> Turnover,PT09M57.00S </> PT09M57.00S,Kurucs OFF.Foul (P1) (S.Twardoski) </> Kurucs Offensive Foul Turnover (P1.T2),0.0 </> 0.0,h </> h,1.0 </> 1.0,1629066.0 </> 1629066.0,Kurucs </> Kurucs,R. Kurucs </> R. Kurucs,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/24/7e24230d-6409-af3c-edfc-e15997d29d6f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800952/26/ecac314e-b258-989a-8f59-4dd30f605c94_1280x720.mp4,23177 </> 23178,train-23177 </> train-23178,PLAYER1629066 OFF.Foul  </> PLAYER1629066 Offensive Foul Turnover ,PLAYER1629066 </> PLAYER1629066,action14 </> action155
