actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4 </> 7,Jump Ball </> Made Shot,PT12M00.00S </> PT11M54.00S,Jump Ball McGee vs. Zubac: Tip to Beverley </> Beverley 2' Driving Layup (2 PTS),0.0 </> 1.0,h </> v,1.0 </> 1.0,201580.0 </> 201976.0,McGee </> Beverley,J. McGee </> P. Beverley,0.0 </> 2.0, </> 2, </> 0,0.0 </> 2.0, </> Made, </> Driving Layup Shot,1610612747.0 </> 1610612746.0,LAL </> LAC,1.0 </> 1.0,0.0 </> -6.0,0.0 </> 18.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/4/d583c0e5-2108-fae6-d89a-bde1ebca616e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/7/0350e1a2-e3ca-1ada-b4ad-0740b664a7e7_1280x720.mp4,35393 </> 35394,val-1804 </> val-1805,Jump Ball PLAYER201580 vs. PLAYER1627826: Tip to PLAYER201976 </> PLAYER201976 2' Driving Layup ,PLAYER201580 PLAYER1627826 PLAYER201976 </> PLAYER201976,action41 </> action53
8,Made Shot,PT11M35.00S,McGee 2' Alley Oop Dunk (2 PTS) (Rondo 1 AST),1.0,h,1.0,201580.0,McGee,J. McGee,4.0,2,2,2.0,Made,Alley Oop Dunk Shot,1610612747.0,LAL,1.0,1.0,17.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/8/6e5e50d6-310b-e112-d550-e48b91c8724e_1280x720.mp4,35395,val-1806,PLAYER201580 2' Alley Oop Dunk (PLAYER200765 AST),PLAYER201580 PLAYER200765,action42
10,Foul,PT11M13.00S,McGee P.FOUL (P1.T1) (R.Mott),0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Personal,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/10/9e80746f-2420-2e35-7024-d32df27983d0_1280x720.mp4,35396,val-1807,PLAYER201580 P.FOUL ,PLAYER201580,action16
12,Foul,PT11M07.00S,Rondo S.FOUL (P1.T2) (R.Mott),0.0,h,1.0,200765.0,Rondo,R. Rondo,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/12/9e77552e-ca16-6674-341e-12428824fea9_1280x720.mp4,35397,val-1808,PLAYER200765 S.FOUL ,PLAYER200765,action18
17,Made Shot,PT10M52.00S,McGee 2' Layup (4 PTS) (James 1 AST),1.0,h,1.0,201580.0,McGee,J. McGee,9.0,5,4,2.0,Made,Layup Shot,1610612747.0,LAL,1.0,3.0,22.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/17/a3d65cc1-e8b5-9e90-fd48-b2d7ff451f16_1280x720.mp4,35398,val-1809,PLAYER201580 2' Layup (PLAYER2544 AST),PLAYER201580 PLAYER2544,action64
19 </> 20,Missed Shot </> Defensive Rebound,PT10M42.00S </> PT10M40.00S,MISS Gilgeous-Alexander 18' Pullup Jump Shot </> Bullock REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628983.0 </> 203493.0,Gilgeous-Alexander </> Bullock,S. Gilgeous-Alexander </> R. Bullock,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612747.0,LAC </> LAL,1.0 </> 1.0,-112.0 </> 0.0,144.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/19/884c3afc-b5d9-b52b-1f66-b39998e89c81_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/20/e9c0fc45-9205-18a2-8fa8-92405cb358db_1280x720.mp4,35399 </> 35400,val-1810 </> val-1811,MISS PLAYER1628983 18' Pullup Jump Shot </> PLAYER203493 DEFENSIVE REBOUND ,PLAYER1628983 </> PLAYER203493,action111 </> action135
21,Made Shot,PT10M36.00S,Kuzma 1' Running Dunk (2 PTS) (Rondo 2 AST),1.0,h,1.0,1628398.0,Kuzma,K. Kuzma,11.0,5,6,1.0,Made,Running Dunk Shot,1610612747.0,LAL,1.0,-3.0,8.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/21/1c31248a-6816-2795-5292-7f97b85cc64c_1280x720.mp4,35401,val-1812,PLAYER1628398 1' Running Dunk (PLAYER200765 AST),PLAYER1628398 PLAYER200765,action72
23,Turnover,PT10M22.00S,Beverley Bad Pass Turnover (P1.T1),0.0,v,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Bad Pass,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/23/a7857fe4-14bb-8090-d860-133436af9d2e_1280x720.mp4,35402,val-1813,PLAYER201976 Bad Pass Turnover ,PLAYER201976,action143
25,Made Shot,PT10M17.00S,Rondo 27' 3PT Pullup Jump Shot (3 PTS),1.0,h,1.0,200765.0,Rondo,R. Rondo,14.0,5,9,27.0,Made,Pullup Jump shot,1610612747.0,LAL,1.0,133.0,239.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/25/fc59a520-df56-e835-757e-60a4acc017ef_1280x720.mp4,35403,val-1814,PLAYER200765 27' 3PT Pullup Jump Shot ,PLAYER200765,action65
28,Foul,PT10M04.00S,McGee S.FOUL (P2.T3) (R.Mott),0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/04/0021800958/28/f461266f-23bd-8617-7aa4-e699a6524c05_1280x720.mp4,35404,val-1815,PLAYER201580 S.FOUL ,PLAYER201580,action18
