actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Gobert: Tip to Rubio,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/4/dae7a20e-fab3-f950-5c21-c00743f52380_1280x720.mp4,23496,train-23496,Jump Ball PLAYER1629028 vs. PLAYER203497: Tip to PLAYER201937,PLAYER1629028 PLAYER203497 PLAYER201937,action41
7.0,Turnover,PT11M45.00S,Ingles Bad Pass Turnover (P1.T1),0.0,v,1.0,204060.0,Ingles,J. Ingles,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/7/fb4de28c-14af-13b9-2a95-aa121b57f20f_1280x720.mp4,23497,train-23497,PLAYER204060 Bad Pass Turnover ,PLAYER204060,action143
9.0,Made Shot,PT11M27.00S,Booker 25' 3PT Jump Shot (3 PTS) (Bender 1 AST),1.0,h,1.0,1626164.0,Booker,D. Booker,3.0,0,3,25.0,Made,Jump Shot,1610612756.0,PHX,1.0,-162.0,195.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/9/9bb227d6-7796-5af5-aeae-df9a28106649_1280x720.mp4,23498,train-23498,PLAYER1626164 25' 3PT Jump Shot (PLAYER1627733 AST),PLAYER1626164 PLAYER1627733,action63
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M07.00S </> PT11M03.00S,MISS Rubio 13' Step Back Jump Shot </> Bender REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201937.0 </> 1627733.0,Rubio </> Bender,R. Rubio </> D. Bender,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612762.0 </> 1610612756.0,UTA </> PHX,1.0 </> 1.0,-125.0 </> 0.0,4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/11/b6cb9570-bdad-e352-5ae9-b84b87016a2c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/12/a7703b45-9d04-b480-9dcc-43563f609e9d_1280x720.mp4,23499 </> 23500,train-23499 </> train-23500,MISS PLAYER201937 13' Step Back Jump Shot </> PLAYER1627733 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER1627733,action126 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M54.00S </> PT10M52.00S,MISS Johnson 21' Jump Shot </> Mitchell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,204020.0 </> 1628378.0,Johnson </> Mitchell,T. Johnson </> D. Mitchell,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612762.0,PHX </> UTA,1.0 </> 1.0,-200.0 </> 0.0,59.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/13/1b147d47-3d72-3bd0-d8f9-c419aea4d2f7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/14/0faf44e2-15b7-b627-40cd-c375de0aa491_1280x720.mp4,23501 </> 23502,train-23501 </> train-23502,MISS PLAYER204020 21' Jump Shot </> PLAYER1628378 DEFENSIVE REBOUND ,PLAYER204020 </> PLAYER1628378,action109 </> action135
15.0,Made Shot,PT10M45.00S,Favors Cutting Dunk Shot (2 PTS) (Mitchell 1 AST),1.0,v,1.0,202324.0,Favors,D. Favors,5.0,2,3,0.0,Made,Cutting Dunk Shot,1610612762.0,UTA,1.0,-2.0,4.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/15/bf325490-e8df-1569-bc59-5b96254ffd9d_1280x720.mp4,23503,train-23503,PLAYER202324 Cutting Dunk Shot (PLAYER1628378 AST),PLAYER202324 PLAYER1628378,action44
17.0,Made Shot,PT10M27.00S,Johnson 1' Driving Layup (2 PTS),1.0,h,1.0,204020.0,Johnson,T. Johnson,7.0,2,5,1.0,Made,Driving Layup Shot,1610612756.0,PHX,1.0,-5.0,8.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/17/37577405-be33-f203-96e6-9bd41146e39c_1280x720.mp4,23504,train-23504,PLAYER204020 1' Driving Layup ,PLAYER204020,action53
18.0,Made Shot,PT10M09.00S,Mitchell 26' 3PT Jump Shot (3 PTS) (Favors 1 AST),1.0,v,1.0,1628378.0,Mitchell,D. Mitchell,10.0,5,5,26.0,Made,Jump Shot,1610612762.0,UTA,1.0,-106.0,232.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/18/0bd05a1c-2ea7-5318-e73a-4e08c8b7058b_1280x720.mp4,23505,train-23505,PLAYER1628378 26' 3PT Jump Shot (PLAYER202324 AST),PLAYER1628378 PLAYER202324,action63
20.0,Turnover,PT09M52.00S,Johnson Bad Pass Turnover (P1.T1),0.0,h,1.0,204020.0,Johnson,T. Johnson,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/20/6078a6ab-ab07-2210-0d8b-b64eb4913f49_1280x720.mp4,23506,train-23506,PLAYER204020 Bad Pass Turnover ,PLAYER204020,action143
22.0 </> 23.0 </> 24.0,Missed Shot </> Offensive Rebound </> Missed Shot,PT09M45.00S </> PT09M43.00S </> PT09M40.00S,MISS Rubio 3PT Running Jump Shot </> Gobert REBOUND (Off:1 Def:0) </> MISS Gobert Putback Layup,1.0 </> 0.0 </> 1.0,v </> v </> v,1.0 </> 1.0 </> 1.0,201937.0 </> 203497.0 </> 203497.0,Rubio </> Gobert </> Gobert,R. Rubio </> R. Gobert </> R. Gobert,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 0.0 </> 0.0,Missed </>  </> Missed,Running Jump Shot </> Unknown </> Putback Layup Shot,1610612762.0 </> 1610612762.0 </> 1610612762.0,UTA </> UTA </> UTA,1.0 </> 1.0 </> 1.0,226.0 </> 0.0 </> 0.0,4.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/22/d38ac8fd-a828-7601-fb12-70ae5929fe77_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/23/1b5060c7-cf8c-f101-7f2b-3648fb3bc41d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/13/0021801019/24/c6baa6e6-5249-f1a5-7a3f-7f481615f322_1280x720.mp4,23507 </> 23508 </> 23509,train-23507 </> train-23508 </> train-23509,MISS PLAYER201937 3PT Running Jump Shot </> PLAYER203497 OFFENSIVE REBOUND  </> MISS PLAYER203497 Putback Layup,PLAYER201937 </> PLAYER203497 </> PLAYER203497,action120 </> action135 </> action113
