actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Allen: Tip to Russell,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/4/e30a40cb-ec50-4436-a987-80d4ec315228_1280x720.mp4,3407,train-3407,Jump Ball PLAYER203497 vs. PLAYER1628386: Tip to PLAYER1626156,PLAYER203497 PLAYER1628386 PLAYER1626156,action41
7.0,Missed Shot,PT11M45.00S,MISS Harris 26' 3PT Jump Shot,1.0,v,1.0,203925.0,Harris,J. Harris,0.0,,,26.0,Missed,Jump Shot,1610612751.0,BKN,1.0,-139.0,214.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/7/6e625a41-5277-6608-63b8-845a434127f7_1280x720.mp4,3408,train-3408,MISS PLAYER203925 26' 3PT Jump Shot,PLAYER203925,action109
10.0,Foul,PT11M34.00S,Allen S.FOUL (P1.T1) (M.Callahan),0.0,v,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Shooting,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/10/e808e36b-906e-28fc-3850-1af70bdf629c_1280x720.mp4,3409,train-3409,PLAYER1628386 S.FOUL ,PLAYER1628386,action18
14.0,Turnover,PT11M24.00S,Russell Lost Ball Turnover (P1.T1),0.0,v,1.0,1626156.0,Russell,D. Russell,0.0,,,0.0,,Lost Ball,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/14/72432314-7f6a-4809-549c-d10229fbbc21_1280x720.mp4,3410,train-3410,PLAYER1626156 Lost Ball Turnover ,PLAYER1626156,action153
16.0 </> 18.0,Missed Shot </> Defensive Rebound,PT11M11.00S </> PT11M07.00S,MISS Favors 2' Driving Dunk </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202324.0 </> 203925.0,Favors </> Harris,D. Favors </> J. Harris,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Dunk Shot </> Unknown,1610612762.0 </> 1610612751.0,UTA </> BKN,1.0 </> 1.0,-15.0 </> 0.0,-5.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/16/c2a8653c-7ed0-8375-34c9-fa178d46d904_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/18/56ae7297-9337-3150-632a-a6f85c09f6de_1280x720.mp4,3411 </> 3412,train-3411 </> train-3412,MISS PLAYER202324 2' Driving Dunk </> PLAYER203925 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER203925,action94 </> action135
19.0,Foul,PT11M02.00S,Gobert S.FOUL (P1.T1) (M.Callahan),0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,Shooting,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/19/0fcedf70-d93f-9811-cb2d-d01c05091b3c_1280x720.mp4,3413,train-3413,PLAYER203497 S.FOUL ,PLAYER203497,action18
23.0 </> 25.0,Foul </> Turnover,PT10M52.00S </> PT10M52.00S,Ingles OFF.Foul (P1) (M.Smith) </> Ingles Offensive Foul Turnover (P1.T1),0.0 </> 0.0,h </> h,1.0 </> 1.0,204060.0 </> 204060.0,Ingles </> Ingles,J. Ingles </> J. Ingles,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/23/4f021a42-af27-ab73-de9c-e2fc41126411_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/25/b1381ee7-57e7-c863-2bca-f6549463614a_1280x720.mp4,3414 </> 3415,train-3414 </> train-3415,PLAYER204060 OFF.Foul  </> PLAYER204060 Offensive Foul Turnover ,PLAYER204060 </> PLAYER204060,action14 </> action155
26.0,Foul,PT10M37.00S,Rubio P.FOUL (P1.T2) (T.Maddox),0.0,h,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Personal,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/26/09b03eff-dd08-e81c-33ea-4f1d17e6a334_1280x720.mp4,3416,train-3416,PLAYER201937 P.FOUL ,PLAYER201937,action16
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT10M32.00S </> PT10M29.00S,MISS Russell 13' Floating Jump Shot </> Ingles REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 204060.0,Russell </> Ingles,D. Russell </> J. Ingles,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612751.0 </> 1610612762.0,BKN </> UTA,1.0 </> 1.0,-1.0 </> 0.0,133.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/28/76625fdf-7b3c-1e62-6ff7-7c0ae032b0c3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/29/f3af3b1a-9b78-24ae-79f7-a6b84ef624e9_1280x720.mp4,3417 </> 3418,train-3417 </> train-3418,MISS PLAYER1626156 13' Floating Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER204060,action105 </> action135
30.0 </> 31.0,Missed Shot </> Defensive Rebound,PT10M21.00S </> PT10M19.00S,MISS Rubio 13' Fadeaway Jumper </> Allen REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201937.0 </> 1628386.0,Rubio </> Allen,R. Rubio </> J. Allen,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612762.0 </> 1610612751.0,UTA </> BKN,1.0 </> 1.0,33.0 </> 0.0,122.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/30/176676db-6796-c392-c7b4-b64c137cb757_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/16/0021801041/31/a6b0fa2e-561c-73b8-0d4f-c758526689ad_1280x720.mp4,3419 </> 3420,train-3419 </> train-3420,MISS PLAYER201937 13' Fadeaway Jumper </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER1628386,action103 </> action135
