actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Poeltl vs. Adebayo: Tip to Olynyk,0.0,h,1.0,1627751.0,Poeltl,J. Poeltl,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/4/a5af548e-1c6e-938a-5abb-df60b5b18449_1280x720.mp4,10326,train-10326,Jump Ball PLAYER1627751 vs. PLAYER1628389: Tip to PLAYER203482,PLAYER1627751 PLAYER1628389 PLAYER203482,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M47.00S </> PT11M42.00S,MISS Richardson 26' 3PT Jump Shot </> DeRozan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626196.0 </> 201942.0,Richardson </> DeRozan,J. Richardson </> D. DeRozan,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612759.0,MIA </> SAS,1.0 </> 1.0,176.0 </> 0.0,195.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/7/2f61fc75-9e4b-f0f1-5ac5-e1ae5683a498_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/8/2be66b8d-1ee3-1544-6151-a371786babea_1280x720.mp4,10327 </> 10328,train-10327 </> train-10328,MISS PLAYER1626196 26' 3PT Jump Shot </> PLAYER201942 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER201942,action109 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M32.00S </> PT11M28.00S,MISS White 8' Driving Floating Jump Shot </> Richardson REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628401.0 </> 1626196.0,White </> Richardson,D. White </> J. Richardson,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612759.0 </> 1610612748.0,SAS </> MIA,1.0 </> 1.0,37.0 </> 0.0,69.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/9/ff7c7391-fd13-3f0d-e1bc-77a75ab4d3db_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/10/c9c2fd71-1819-8929-b3d0-a2b3224f747e_1280x720.mp4,10329 </> 10330,train-10329 </> train-10330,MISS PLAYER1628401 8' Driving Floating Jump Shot </> PLAYER1626196 DEFENSIVE REBOUND ,PLAYER1628401 </> PLAYER1626196,action97 </> action135
11.0,Missed Shot,PT11M15.00S,MISS Jones Jr. 25' 3PT Jump Shot,1.0,v,1.0,1627884.0,Jones Jr.,D. Jones Jr.,0.0,,,25.0,Missed,Jump Shot,1610612748.0,MIA,1.0,7.0,248.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/11/bc63c311-2f25-dff4-e1c7-20cab8d46fb6_1280x720.mp4,10331,train-10331,MISS PLAYER1627884 25' 3PT Jump Shot,PLAYER1627884,action109
12.0,Offensive Rebound,PT11M11.00S,Adebayo REBOUND (Off:1 Def:0),0.0,v,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,0.0,,Unknown,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/12/3de5ed27-c385-213c-187c-da5fe7fcb148_1280x720.mp4,10332,train-10332,PLAYER1628389 OFFENSIVE REBOUND ,PLAYER1628389,action135
13.0,Missed Shot,PT11M04.00S,MISS Richardson 19' Jump Shot,1.0,v,1.0,1626196.0,Richardson,J. Richardson,0.0,,,19.0,Missed,Jump Shot,1610612748.0,MIA,1.0,-187.0,-15.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/13/3d02a5b9-ebcd-4346-b52d-1dcaf847f487_1280x720.mp4,10333,train-10333,MISS PLAYER1626196 19' Jump Shot,PLAYER1626196,action109
14.0,Defensive Rebound,PT11M00.00S,Poeltl REBOUND (Off:0 Def:1),0.0,h,1.0,1627751.0,Poeltl,J. Poeltl,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/14/5cff13cb-12fe-3a64-4865-71b221474e8a_1280x720.mp4,10334,train-10334,PLAYER1627751 DEFENSIVE REBOUND ,PLAYER1627751,action135
15.0,Missed Shot,PT10M48.00S,MISS Forbes 10' Driving Floating Bank Jump Shot,1.0,h,1.0,1627854.0,Forbes,B. Forbes,0.0,,,10.0,Missed,Driving Floating Bank Jump Shot,1610612759.0,SAS,1.0,97.0,31.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/15/8942542b-60a2-58ee-ab22-d73d1b8c0cbe_1280x720.mp4,10335,train-10335,MISS PLAYER1627854 10' Driving Floating Bank Jump Shot,PLAYER1627854,action96
16.0,Defensive Rebound,PT10M46.00S,Jones Jr. REBOUND (Off:0 Def:1),0.0,v,1.0,1627884.0,Jones Jr.,D. Jones Jr.,0.0,,,0.0,,Unknown,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/16/d81b672e-6ad6-5d8d-8da7-c43c17e5b1e6_1280x720.mp4,10336,train-10336,PLAYER1627884 DEFENSIVE REBOUND ,PLAYER1627884,action135
17.0,Made Shot,PT10M33.00S,Waiters 3PT Jump Shot (3 PTS) (Adebayo 1 AST),1.0,v,1.0,203079.0,Waiters,D. Waiters,3.0,3,0,0.0,Made,Jump Shot,1610612748.0,MIA,1.0,-233.0,-4.0,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801071/17/7280c420-3f2e-4698-c5c5-7b6244d52ba5_1280x720.mp4,10337,train-10337,PLAYER203079 3PT Jump Shot (PLAYER1628389 AST),PLAYER203079 PLAYER1628389,action63
