actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball McGee vs. Allen: Tip to Rondo,0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/4/16a5a140-f95e-1f25-46e3-319998ea46bf_1280x720.mp4,31567,train-31567,Jump Ball PLAYER201580 vs. PLAYER1628386: Tip to PLAYER200765,PLAYER201580 PLAYER1628386 PLAYER200765,action41
7.0,Made Shot,PT11M43.00S,McGee 2' Hook Shot (2 PTS) (James 1 AST),1.0,h,1.0,201580.0,McGee,J. McGee,2.0,0,2,2.0,Made,Hook Shot,1610612747.0,LAL,1.0,14.0,6.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/7/75183b1c-cacc-5500-d4dc-d3b957632fbd_1280x720.mp4,31568,train-31568,PLAYER201580 2' Hook Shot (PLAYER2544 AST),PLAYER201580 PLAYER2544,action61
9.0 </> 10.0,Missed Shot </> Offensive Rebound,PT11M22.00S </> PT11M20.00S,MISS Carroll 26' 3PT Jump Shot </> Allen REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,201960.0 </> 1628386.0,Carroll </> Allen,D. Carroll </> J. Allen,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,-129.0 </> 0.0,224.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/9/a188be81-23c5-ee98-776d-27faf6e6d7ef_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/10/42073887-7bea-3c6d-31b9-e1183e13674c_1280x720.mp4,31569 </> 31570,train-31569 </> train-31570,MISS PLAYER201960 26' 3PT Jump Shot </> PLAYER1628386 OFFENSIVE REBOUND ,PLAYER201960 </> PLAYER1628386,action109 </> action135
11.0,Made Shot,PT11M20.00S,Allen 2' Dunk (2 PTS),1.0,v,1.0,1628386.0,Allen,J. Allen,4.0,2,2,2.0,Made,Dunk Shot,1610612751.0,BKN,1.0,8.0,17.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/11/6da93c08-217f-4b0f-aecb-240a43ea636e_1280x720.mp4,31571,train-31571,PLAYER1628386 2' Dunk ,PLAYER1628386,action56
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M09.00S </> PT11M08.00S,MISS Kuzma 2' Reverse Layup </> Allen REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628398.0 </> 1628386.0,Kuzma </> Allen,K. Kuzma </> J. Allen,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Reverse Layup Shot </> Unknown,1610612747.0 </> 1610612751.0,LAL </> BKN,1.0 </> 1.0,-12.0 </> 0.0,16.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/13/a58c273d-a7f3-ecff-55b4-07c129f70a54_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/14/929e2fdc-5015-0184-782d-e9415732e148_1280x720.mp4,31572 </> 31573,train-31572 </> train-31573,MISS PLAYER1628398 2' Reverse Layup </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER1628398 </> PLAYER1628386,action115 </> action135
15.0 </> 16.0,Missed Shot </> Offensive Rebound,PT11M06.00S </> PT11M06.00S,MISS Russell 1' Layup </> Allen REBOUND (Off:2 Def:1),1.0 </> 0.0,v </> v,1.0 </> 1.0,1626156.0 </> 1628386.0,Russell </> Allen,D. Russell </> J. Allen,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,-4.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/15/0d0d34a0-d9ce-3341-bd02-0eb7259109f2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/16/e78dd182-02aa-5922-1de2-5dbf3981889d_1280x720.mp4,31574 </> 31575,train-31574 </> train-31575,MISS PLAYER1626156 1' Layup </> PLAYER1628386 OFFENSIVE REBOUND ,PLAYER1626156 </> PLAYER1628386,action110 </> action135
17.0,Made Shot,PT11M00.00S,Allen 1' Putback Dunk (4 PTS),1.0,v,1.0,1628386.0,Allen,J. Allen,6.0,4,2,1.0,Made,Putback Dunk Shot,1610612751.0,BKN,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/17/cacad847-7ab8-f0a8-1bbd-37c3ba847610_1280x720.mp4,31576,train-31576,PLAYER1628386 1' Putback Dunk ,PLAYER1628386,action66
18.0,Foul,PT10M54.00S,Kurucs P.FOUL (P1.T1) (J.DeRosa),0.0,v,1.0,1629066.0,Kurucs,R. Kurucs,0.0,,,0.0,,Personal,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/18/8863f322-553c-994b-d3e6-3bc6dd78613e_1280x720.mp4,31577,train-31577,PLAYER1629066 P.FOUL ,PLAYER1629066,action16
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M45.00S </> PT10M43.00S,MISS James 4' Floating Jump Shot </> Kurucs REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,2544.0 </> 1629066.0,James </> Kurucs,L. James </> R. Kurucs,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612747.0 </> 1610612751.0,LAL </> BKN,1.0 </> 1.0,41.0 </> 0.0,18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/20/550a88df-7f36-2e77-bd68-7e950e44dd7d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/21/73ab8013-80ff-7be8-212f-dffd871da606_1280x720.mp4,31578 </> 31579,train-31578 </> train-31579,MISS PLAYER2544 4' Floating Jump Shot </> PLAYER1629066 DEFENSIVE REBOUND ,PLAYER2544 </> PLAYER1629066,action105 </> action135
22.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M34.00S </> PT10M31.00S,MISS Allen 1' Layup </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628386.0 </> 201580.0,Allen </> McGee,J. Allen </> J. McGee,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612751.0 </> 1610612747.0,BKN </> LAL,1.0 </> 1.0,-11.0 </> 0.0,5.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/22/4b8ce728-ffcb-752b-10e2-c35c90197455_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/22/0021801086/24/0656c0d2-0a75-0cfd-5185-806b93047689_1280x720.mp4,31580 </> 31581,train-31580 </> train-31581,MISS PLAYER1628386 1' Layup </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER1628386 </> PLAYER201580,action110 </> action135
