actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Powell: Tip to Green,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/4/050510ad-911f-78f4-2971-505f012e011c_1280x720.mp4,35733,val-2144,Jump Ball PLAYER202326 vs. PLAYER203939: Tip to PLAYER203110,PLAYER202326 PLAYER203939 PLAYER203110,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M46.00S </> PT11M45.00S,MISS Durant 18' Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201142.0 </> 1629029.0,Durant </> Doncic,K. Durant </> L. Doncic,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,70.0 </> 0.0,163.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/7/359ce851-a8ff-4ef9-c97e-fc34f1334c16_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/8/b76415ba-cca7-b66d-9a40-cf0491b99926_1280x720.mp4,35734 </> 35735,val-2145 </> val-2146,MISS PLAYER201142 18' Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER1629029,action109 </> action135
9.0,Made Shot,PT11M30.00S,Nowitzki 22' Jump Shot (2 PTS) (Doncic 1 AST),1.0,v,1.0,1717.0,Nowitzki,D. Nowitzki,2.0,2,0,22.0,Made,Jump Shot,1610612742.0,DAL,1.0,119.0,183.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/9/7dce493f-f064-ebef-f8f7-c6c0a9914b39_1280x720.mp4,35736,val-2147,PLAYER1717 22' Jump Shot (PLAYER1629029 AST),PLAYER1717 PLAYER1629029,action63
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M16.00S </> PT11M15.00S,MISS Thompson 20' Fadeaway Jumper </> Doncic REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,202691.0 </> 1629029.0,Thompson </> Doncic,K. Thompson </> L. Doncic,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,75.0 </> 0.0,180.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/11/25972849-2f3a-6ef3-b3a8-a49c8e26a7c6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/12/932fcfc1-0353-9702-62bb-720563208b49_1280x720.mp4,35737 </> 35738,val-2148 </> val-2149,MISS PLAYER202691 20' Fadeaway Jumper </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER1629029,action103 </> action135
13.0,Made Shot,PT10M56.00S,Nowitzki 27' 3PT Jump Shot (5 PTS) (Jackson 1 AST),1.0,v,1.0,1717.0,Nowitzki,D. Nowitzki,5.0,5,0,27.0,Made,Jump Shot,1610612742.0,DAL,1.0,0.0,266.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/13/049a219d-ead7-cad9-e2b0-dcfd6a9995a0_1280x720.mp4,35739,val-2150,PLAYER1717 27' 3PT Jump Shot (PLAYER1628382 AST),PLAYER1717 PLAYER1628382,action63
15.0,Made Shot,PT10M35.00S,Durant 10' Fadeaway Jumper (2 PTS),1.0,h,1.0,201142.0,Durant,K. Durant,7.0,5,2,10.0,Made,Fadeaway Jump Shot,1610612744.0,GSW,1.0,-100.0,2.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/15/467ba030-9324-bba8-dd92-db8493fc8a41_1280x720.mp4,35740,val-2151,PLAYER201142 10' Fadeaway Jumper ,PLAYER201142,action57
16.0,Made Shot,PT10M21.00S,Brunson 8' Turnaround Hook Shot (2 PTS) (Doncic 2 AST),1.0,v,1.0,1628973.0,Brunson,J. Brunson,9.0,7,2,8.0,Made,Turnaround Hook Shot,1610612742.0,DAL,1.0,-6.0,75.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/16/2b1d7ef2-9e2c-f216-c6a7-f0f58b8d0ec2_1280x720.mp4,35741,val-2152,PLAYER1628973 8' Turnaround Hook Shot (PLAYER1629029 AST),PLAYER1628973 PLAYER1629029,action86
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M11.00S </> PT10M10.00S,MISS Cook 10' Turnaround Hook Shot </> Powell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626188.0 </> 203939.0,Cook </> Powell,Q. Cook </> D. Powell,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Turnaround Hook Shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,-67.0 </> 0.0,75.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/18/1956f440-ecf5-11cf-5b62-bba9f3cbaa69_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/19/de1ea502-aa10-38dd-e1e1-9e1ae301f60e_1280x720.mp4,35742 </> 35743,val-2153 </> val-2154,MISS PLAYER1626188 10' Turnaround Hook Shot </> PLAYER203939 DEFENSIVE REBOUND ,PLAYER1626188 </> PLAYER203939,action132 </> action135
20.0,Made Shot,PT09M52.00S,Doncic 13' Jump Shot (2 PTS),1.0,v,1.0,1629029.0,Doncic,L. Doncic,11.0,9,2,13.0,Made,Jump Shot,1610612742.0,DAL,1.0,123.0,26.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/20/132a027f-cf73-a923-b437-412b78f3a523_1280x720.mp4,35744,val-2155,PLAYER1629029 13' Jump Shot ,PLAYER1629029,action63
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT09M38.00S </> PT09M33.00S,MISS Cousins 20' Step Back Jump Shot </> Doncic REBOUND (Off:0 Def:3),1.0 </> 0.0,h </> v,1.0 </> 1.0,202326.0 </> 1629029.0,Cousins </> Doncic,D. Cousins </> L. Doncic,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,107.0 </> 0.0,165.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/21/fd327a62-43d8-b08e-6980-a8942842046e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/22/197cb557-662c-4066-7878-d53989266c73_1280x720.mp4,35745 </> 35746,val-2156 </> val-2157,MISS PLAYER202326 20' Step Back Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER202326 </> PLAYER1629029,action126 </> action135
23.0 </> 24.0,Missed Shot </> Offensive Rebound,PT09M29.00S </> PT09M27.00S,MISS Jackson 26' 3PT Jump Shot </> Powell REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> v,1.0 </> 1.0,1628382.0 </> 203939.0,Jackson </> Powell,J. Jackson </> D. Powell,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612742.0,DAL </> DAL,1.0 </> 1.0,-141.0 </> 0.0,214.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/23/0c395f02-d7ce-47ba-d4e1-acbaf82abe89_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/24/3932e955-13e4-5dcd-4ced-9673d8def9ab_1280x720.mp4,35747 </> 35748,val-2158 </> val-2159,MISS PLAYER1628382 26' 3PT Jump Shot </> PLAYER203939 OFFENSIVE REBOUND ,PLAYER1628382 </> PLAYER203939,action109 </> action135
25.0,Made Shot,PT09M23.00S,Nowitzki 27' 3PT Jump Shot (8 PTS) (Powell 1 AST),1.0,v,1.0,1717.0,Nowitzki,D. Nowitzki,14.0,12,2,27.0,Made,Jump Shot,1610612742.0,DAL,1.0,139.0,231.0,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801092/25/7d878bc7-99af-a43b-00f2-53860a9098af_1280x720.mp4,35749,val-2160,PLAYER1717 27' 3PT Jump Shot (PLAYER203939 AST),PLAYER1717 PLAYER203939,action63
