actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Ayton: Tip to Favors,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/4/ae2ff062-184c-e05d-8f04-ff82a32f8734_1280x720.mp4,15805,train-15805,Jump Ball PLAYER203497 vs. PLAYER1629028: Tip to PLAYER202324,PLAYER203497 PLAYER1629028 PLAYER202324,action41
7.0,Missed Shot,PT11M47.00S,MISS Mitchell 6' Floating Jump Shot,1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,6.0,Missed,Floating Jump shot,1610612762.0,UTA,1.0,48.0,41.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/7/e82f00c7-ae8d-de61-ec9d-d22bbb45d648_1280x720.mp4,15806,train-15806,MISS PLAYER1628378 6' Floating Jump Shot,PLAYER1628378,action105
9.0,Defensive Rebound,PT11M44.00S,Ayton REBOUND (Off:0 Def:1),0.0,v,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,Unknown,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/9/22fc1167-51dc-46a0-6ee5-2446c313e7d0_1280x720.mp4,15807,train-15807,PLAYER1629028 DEFENSIVE REBOUND ,PLAYER1629028,action135
10.0,Made Shot,PT11M35.00S,Booker 3PT Step Back Jump Shot (3 PTS),1.0,v,1.0,1626164.0,Booker,D. Booker,3.0,3,0,0.0,Made,Step Back Jump shot,1610612756.0,PHX,1.0,225.0,30.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/10/fc7f3f78-0c5f-a768-bdbe-7da2f52ff257_1280x720.mp4,15808,train-15808,PLAYER1626164 3PT Step Back Jump Shot ,PLAYER1626164,action80
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M13.00S </> PT11M09.00S,MISS Ingles 27' 3PT Jump Shot </> Melton REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,204060.0 </> 1629001.0,Ingles </> Melton,J. Ingles </> D. Melton,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612756.0,UTA </> PHX,1.0 </> 1.0,136.0 </> 0.0,233.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/11/4d42bf21-5d28-e671-6d62-cc9f9b6adb56_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/12/c1e0f620-c6c5-dc20-2823-1bd2da9e5620_1280x720.mp4,15809 </> 15810,train-15809 </> train-15810,MISS PLAYER204060 27' 3PT Jump Shot </> PLAYER1629001 DEFENSIVE REBOUND ,PLAYER204060 </> PLAYER1629001,action109 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M54.00S </> PT10M50.00S,MISS Booker 9' Step Back Jump Shot </> Ingles REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626164.0 </> 204060.0,Booker </> Ingles,D. Booker </> J. Ingles,0.0 </> 0.0, </> , </> ,9.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612756.0 </> 1610612762.0,PHX </> UTA,1.0 </> 1.0,54.0 </> 0.0,69.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/13/d8883fc6-3c5f-0296-1508-d79da90e07a0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/14/f84f2dea-3b4b-df25-7a3b-d1bcb152d9b9_1280x720.mp4,15811 </> 15812,train-15811 </> train-15812,MISS PLAYER1626164 9' Step Back Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER204060,action126 </> action135
15.0,Made Shot,PT10M43.00S,Gobert 2' Cutting Layup Shot (2 PTS) (Ingles 1 AST),1.0,h,1.0,203497.0,Gobert,R. Gobert,5.0,3,2,2.0,Made,Cutting Layup Shot,1610612762.0,UTA,1.0,-8.0,15.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/15/88c2ea49-8280-9ad9-0bab-dafb8e06f62d_1280x720.mp4,15813,train-15813,PLAYER203497 2' Cutting Layup Shot (PLAYER204060 AST),PLAYER203497 PLAYER204060,action46
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M24.00S </> PT10M21.00S,MISS Ayton 17' Jump Shot </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 202324.0,Ayton </> Favors,D. Ayton </> D. Favors,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612762.0,PHX </> UTA,1.0 </> 1.0,0.0 </> 0.0,167.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/18/bd16864f-992a-5bac-b38b-1000fb281577_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/19/73503acc-7a94-ffd4-0e9f-ab67feb57b9f_1280x720.mp4,15814 </> 15815,train-15814 </> train-15815,MISS PLAYER1629028 17' Jump Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER202324,action109 </> action135
20.0,Foul,PT10M14.00S,Bender S.FOUL (P1.T1) (D.Collins),0.0,v,1.0,1627733.0,Bender,D. Bender,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/20/16a8ecd4-4832-bc89-f840-35a8c8364e8d_1280x720.mp4,15816,train-15816,PLAYER1627733 S.FOUL ,PLAYER1627733,action18
25.0,Turnover,PT09M53.00S,Ayton Lost Ball Turnover (P1.T1),0.0,v,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,Lost Ball,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801105/25/950d24e8-f9b9-4668-ad73-2a617c964a35_1280x720.mp4,15817,train-15817,PLAYER1629028 Lost Ball Turnover ,PLAYER1629028,action153
