actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. McGee: Tip to Kuzma,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/4/0410d5d5-03c3-1f24-b36e-b463f170991b_1280x720.mp4,39126,test-0,Jump Ball PLAYER203497 vs. PLAYER201580: Tip to PLAYER1628398,PLAYER203497 PLAYER201580 PLAYER1628398,action41
7.0,Foul,PT11M41.00S,Favors P.FOUL (P1.T1) (J.Tiven),0.0,h,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,,Personal,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/7/a3d399ce-c307-5522-08a9-4a0a3687b711_1280x720.mp4,39127,test-1,PLAYER202324 P.FOUL ,PLAYER202324,action16
9.0,Missed Shot,PT11M36.00S,MISS Rondo 14' Driving Floating Bank Jump Shot,1.0,v,1.0,200765.0,Rondo,R. Rondo,0.0,,,14.0,Missed,Driving Floating Bank Jump Shot,1610612747.0,LAL,1.0,121.0,62.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/9/2c2d3e0f-f059-6885-d608-0f6546d47f83_1280x720.mp4,39128,test-2,MISS PLAYER200765 14' Driving Floating Bank Jump Shot,PLAYER200765,action96
12.0,Made Shot,PT11M19.00S,Ingles 26' 3PT Jump Shot (3 PTS) (Rubio 1 AST),1.0,h,1.0,204060.0,Ingles,J. Ingles,3.0,0,3,26.0,Made,Jump Shot,1610612762.0,UTA,1.0,63.0,252.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/12/80a9e540-93a6-5c04-8623-9edf4ba12fd1_1280x720.mp4,39129,test-3,PLAYER204060 26' 3PT Jump Shot (PLAYER201937 AST),PLAYER204060 PLAYER201937,action63
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT11M01.00S </> PT10M58.00S,MISS Kuzma 18' Pullup Jump Shot </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628398.0 </> 202324.0,Kuzma </> Favors,K. Kuzma </> D. Favors,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612747.0 </> 1610612762.0,LAL </> UTA,1.0 </> 1.0,85.0 </> 0.0,162.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/14/e181063b-0549-b116-96db-4b4bd0941b92_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/15/f9be0502-b08c-a3b4-9983-31e9d08a86e6_1280x720.mp4,39130 </> 39131,test-4 </> test-5,MISS PLAYER1628398 18' Pullup Jump Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER1628398 </> PLAYER202324,action111 </> action135
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M52.00S </> PT10M49.00S,MISS Favors 11' Floating Jump Shot </> Caldwell-Pope REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202324.0 </> 203484.0,Favors </> Caldwell-Pope,D. Favors </> K. Caldwell-Pope,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612762.0 </> 1610612747.0,UTA </> LAL,1.0 </> 1.0,47.0 </> 0.0,95.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/16/b06768dd-81c4-88bf-2971-e925f2423315_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/17/2c286fa1-af52-ee53-b401-4facb1621f99_1280x720.mp4,39132 </> 39133,test-6 </> test-7,MISS PLAYER202324 11' Floating Jump Shot </> PLAYER203484 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER203484,action105 </> action135
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M37.00S </> PT10M34.00S,MISS Stephenson 3PT Jump Shot </> Ingles REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202362.0 </> 204060.0,Stephenson </> Ingles,L. Stephenson </> J. Ingles,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612747.0 </> 1610612762.0,LAL </> UTA,1.0 </> 1.0,224.0 </> 0.0,50.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/18/942a8617-0070-fb4f-6e26-302a1d6704a7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/19/bf1f8eb6-6917-ee3a-6e30-868142b8d928_1280x720.mp4,39134 </> 39135,test-8 </> test-9,MISS PLAYER202362 3PT Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER202362 </> PLAYER204060,action109 </> action135
20.0 </> 21.0 </> 62.0 </> 63.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT10M24.00S </> PT10M22.00S </> PT10M22.00S </> PT10M22.00S,MISS Rubio 4' Driving Layup </> Gobert REBOUND (Off:1 Def:0) </> MISS Gobert 2' Tip Layup Shot </> Rondo REBOUND (Off:0 Def:1),1.0 </> 0.0 </> 1.0 </> 0.0,h </> h </> h </> v,1.0 </> 1.0 </> 1.0 </> 1.0,201937.0 </> 203497.0 </> 203497.0 </> 200765.0,Rubio </> Gobert </> Gobert </> Rondo,R. Rubio </> R. Gobert </> R. Gobert </> R. Rondo,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,4.0 </> 0.0 </> 2.0 </> 0.0,Missed </>  </> Missed </> ,Driving Layup Shot </> Unknown </> Tip Layup Shot </> Unknown,1610612762.0 </> 1610612762.0 </> 1610612762.0 </> 1610612747.0,UTA </> UTA </> UTA </> LAL,1.0 </> 1.0 </> 1.0 </> 1.0,-29.0 </> 0.0 </> 8.0 </> 0.0,22.0 </> 0.0 </> 17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/20/0ed21fe7-ac4f-3f2d-e6c8-e1014b671ea3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/21/de820fd6-4469-634e-96e4-438f2fc648f0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/62/a404a5f0-62dd-e583-bb7a-9c69e1739db4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/63/06d9f251-3d51-fd78-c1ae-094908c491ca_1280x720.mp4,39136 </> 39137 </> 39138 </> 39139,test-10 </> test-11 </> test-12 </> test-13,MISS PLAYER201937 4' Driving Layup </> PLAYER203497 OFFENSIVE REBOUND  </> MISS PLAYER203497 2' Tip Layup Shot </> PLAYER200765 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER203497 </> PLAYER203497 </> PLAYER200765,action99 </> action135 </> action128 </> action135
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT10M17.00S </> PT10M15.00S,MISS Caldwell-Pope 25' 3PT Jump Shot </> Ingles REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203484.0 </> 204060.0,Caldwell-Pope </> Ingles,K. Caldwell-Pope </> J. Ingles,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612747.0 </> 1610612762.0,LAL </> UTA,1.0 </> 1.0,172.0 </> 0.0,176.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/22/74baab98-7b89-445a-3c22-bdba64db2f7a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/23/59b4693e-5533-2e30-3cbe-1fa75d0e90cb_1280x720.mp4,39140 </> 39141,test-14 </> test-15,MISS PLAYER203484 25' 3PT Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER203484 </> PLAYER204060,action109 </> action135
24.0 </> 26.0,Missed Shot </> Offensive Rebound,PT10M02.00S </> PT10M00.00S,MISS Favors 2' Driving Hook Shot </> Gobert REBOUND (Off:2 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,202324.0 </> 203497.0,Favors </> Gobert,D. Favors </> R. Gobert,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Hook Shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,-7.0 </> 0.0,20.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/24/d12020e6-1671-317d-0316-2252d8fe47be_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/26/9e3684e9-dbca-68af-0eec-34000daedeb1_1280x720.mp4,39142 </> 39143,test-16 </> test-17,MISS PLAYER202324 2' Driving Hook Shot </> PLAYER203497 OFFENSIVE REBOUND ,PLAYER202324 </> PLAYER203497,action98 </> action135
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT09M58.00S </> PT09M56.00S,MISS Ingles 25' 3PT Jump Shot </> Rondo REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,204060.0 </> 200765.0,Ingles </> Rondo,J. Ingles </> R. Rondo,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612747.0,UTA </> LAL,1.0 </> 1.0,-81.0 </> 0.0,239.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/27/89d76b27-d309-7a94-dd3c-5c7615305ff9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/28/db3fa9b9-07f9-f9b2-6141-d1289674e136_1280x720.mp4,39144 </> 39145,test-18 </> test-19,MISS PLAYER204060 25' 3PT Jump Shot </> PLAYER200765 DEFENSIVE REBOUND ,PLAYER204060 </> PLAYER200765,action109 </> action135
29.0 </> 30.0,Missed Shot </> Defensive Rebound,PT09M50.00S </> PT09M48.00S,MISS Stephenson 3' Driving Layup </> Ingles REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,202362.0 </> 204060.0,Stephenson </> Ingles,L. Stephenson </> J. Ingles,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612747.0 </> 1610612762.0,LAL </> UTA,1.0 </> 1.0,-13.0 </> 0.0,25.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/29/53b35599-abf6-0a39-9658-587d5aad2237_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/30/99abb466-2f4e-d028-4ac1-f71188d87e35_1280x720.mp4,39146 </> 39147,test-20 </> test-21,MISS PLAYER202362 3' Driving Layup </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER202362 </> PLAYER204060,action99 </> action135
31.0,Made Shot,PT09M43.00S,Mitchell 3PT Jump Shot (3 PTS) (Ingles 1 AST),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,6.0,0,6,0.0,Made,Jump Shot,1610612762.0,UTA,1.0,227.0,18.0,https://videos.nba.com/nba/pbp/media/2019/03/27/0021801121/31/9da85cdd-f612-a763-48d1-cf1144cd386f_1280x720.mp4,39148,test-22,PLAYER1628378 3PT Jump Shot (PLAYER204060 AST),PLAYER1628378 PLAYER204060,action63
