actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Allen: Tip to Redick,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/4/86af0bed-0ae4-4c33-68a3-e97502baad0f_1280x720.mp4,43263,test-4137,Jump Ball PLAYER203954 vs. PLAYER1628386: Tip to PLAYER200755,PLAYER203954 PLAYER1628386 PLAYER200755,action41
7.0,Turnover,PT11M54.00S,Redick Bad Pass Turnover (P1.T1),0.0,h,1.0,200755.0,Redick,J. Redick,0.0,,,0.0,,Bad Pass,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/7/17d5b292-4ad0-1e95-9e57-11efa89f8ba6_1280x720.mp4,43264,test-4138,PLAYER200755 Bad Pass Turnover ,PLAYER200755,action143
9.0,Made Shot,PT11M51.00S,Russell 1' Running Finger Roll Layup (2 PTS),1.0,v,1.0,1626156.0,Russell,D. Russell,2.0,2,0,1.0,Made,Running Finger Roll Layup Shot,1610612751.0,BKN,1.0,0.0,9.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/9/683124a8-1771-0a35-ff96-d96e90c917b4_1280x720.mp4,43265,test-4139,PLAYER1626156 1' Running Finger Roll Layup ,PLAYER1626156,action73
10.0,Made Shot,PT11M38.00S,Butler 27' 3PT Jump Shot (3 PTS) (Simmons 1 AST),1.0,h,1.0,202710.0,Butler,J. Butler,5.0,2,3,27.0,Made,Jump Shot,1610612755.0,PHI,1.0,179.0,200.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/10/d91eefb8-bf05-f18f-3b43-06573279c4d8_1280x720.mp4,43266,test-4140,PLAYER202710 27' 3PT Jump Shot (Simmons AST),PLAYER202710,action63
12.0,Made Shot,PT11M22.00S,Harris 2' Alley Oop Layup (2 PTS) (Russell 1 AST),1.0,v,1.0,203925.0,Harris,J. Harris,7.0,4,3,2.0,Made,Alley Oop Layup shot,1610612751.0,BKN,1.0,12.0,9.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/12/0604f243-0f3c-b55c-e5fc-d52292134f1b_1280x720.mp4,43267,test-4141,PLAYER202699 2' Alley Oop Layup (PLAYER1626156 AST),PLAYER202699 PLAYER1626156,action43
14.0 </> 15.0,Missed Shot </> Offensive Rebound,PT11M11.00S </> PT11M11.00S,MISS Embiid 7' Dunk </> Embiid REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,203954.0 </> 203954.0,Embiid </> Embiid,J. Embiid </> J. Embiid,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Dunk Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,4.0 </> 0.0,65.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/14/f36b1e2e-95b6-be89-99c6-eedf94593e38_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/15/ac1bdf17-b583-f85f-436f-dde00e805530_1280x720.mp4,43268 </> 43269,test-4142 </> test-4143,MISS PLAYER203954 7' Dunk </> PLAYER203954 OFFENSIVE REBOUND ,PLAYER203954 </> PLAYER203954,action102 </> action135
16.0,Made Shot,PT11M11.00S,Embiid 1' Layup (2 PTS),1.0,h,1.0,203954.0,Embiid,J. Embiid,9.0,4,5,1.0,Made,Layup Shot,1610612755.0,PHI,1.0,-5.0,9.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/16/42acc37d-8687-0266-5298-fbf8bd7fb35b_1280x720.mp4,43270,test-4144,PLAYER203954 1' Layup ,PLAYER203954,action64
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M57.00S </> PT10M54.00S,MISS Russell 12' Fadeaway Jumper </> Embiid REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 203954.0,Russell </> Embiid,D. Russell </> J. Embiid,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612751.0 </> 1610612755.0,BKN </> PHI,1.0 </> 1.0,114.0 </> 0.0,38.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/18/aadd173c-f0a3-f2f3-41df-cb6b869c3e73_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/19/661cb135-9fc5-1a3c-8b8d-02385bb9dac9_1280x720.mp4,43271 </> 43272,test-4145 </> test-4146,MISS PLAYER1626156 12' Fadeaway Jumper </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER203954,action103 </> action135
20.0,Foul,PT10M50.00S,Carroll S.FOUL (P1.T1) (J.Goldenberg),0.0,v,1.0,201960.0,Carroll,D. Carroll,0.0,,,0.0,,Shooting,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/20/45bf05bb-1788-5d03-c40e-f5f36d0aec42_1280x720.mp4,43273,test-4147,PLAYER201960 S.FOUL ,PLAYER201960,action18
25.0,Defensive Rebound,PT10M48.00S,Allen REBOUND (Off:0 Def:1),0.0,v,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Unknown,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/25/3226d823-54a4-f188-e8d3-ad3c6b179501_1280x720.mp4,43274,test-4148,PLAYER1628386 DEFENSIVE REBOUND ,PLAYER1628386,action135
27.0,Made Shot,PT10M33.00S,Allen 1' Dunk (2 PTS) (Kurucs 1 AST),1.0,v,1.0,1628386.0,Allen,J. Allen,11.0,6,5,1.0,Made,Dunk Shot,1610612751.0,BKN,1.0,3.0,13.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/27/db3a81ce-c408-2399-b5e0-111c2b57b92b_1280x720.mp4,43275,test-4149,PLAYER1628386 1' Dunk (PLAYER1629066 AST),PLAYER1628386 PLAYER1629066,action56
