actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Adebayo vs. Powell: Tip to Jones Jr.,0.0,h,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/4/3717108e-e57c-8830-1b71-9ca225b6ba2a_1280x720.mp4,12285,train-12285,Jump Ball PLAYER1628389 vs. PLAYER203939: Tip to PLAYER1627884,PLAYER1628389 PLAYER203939 PLAYER1627884,action41
7.0,Made Shot,PT11M45.00S,Jones Jr. 1' Alley Oop Dunk (2 PTS) (Dragic 1 AST),1.0,h,1.0,1627884.0,Jones Jr.,D. Jones Jr.,2.0,0,2,1.0,Made,Alley Oop Dunk Shot,1610612748.0,MIA,1.0,1.0,11.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/7/623b943a-83a5-5396-9b8d-c4eafbf1dc52_1280x720.mp4,12286,train-12286,PLAYER1627884 1' Alley Oop Dunk (PLAYER201609 AST),PLAYER1627884 PLAYER201609,action42
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M24.00S,MISS Nowitzki 19' Jump Shot </> Adebayo REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1717.0 </> 1628389.0,Nowitzki </> Adebayo,D. Nowitzki </> B. Adebayo,0.0 </> 0.0, </> , </> ,19.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612748.0,DAL </> MIA,1.0 </> 1.0,-88.0 </> 0.0,165.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/9/ad42e950-7b66-32dc-bc3c-d8fcedadb257_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/10/c9f33044-99e9-b33d-2cde-8a38c2138584_1280x720.mp4,12287 </> 12288,train-12287 </> train-12288,MISS PLAYER1717 19' Jump Shot </> PLAYER1628389 DEFENSIVE REBOUND ,PLAYER1717 </> PLAYER1628389,action109 </> action135
11.0,Made Shot,PT11M17.00S,Adebayo 1' Alley Oop Dunk (2 PTS) (Dragic 2 AST),1.0,h,1.0,1628389.0,Adebayo,B. Adebayo,4.0,0,4,1.0,Made,Alley Oop Dunk Shot,1610612748.0,MIA,1.0,-6.0,5.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/11/f2f4010d-f91f-c38d-5ed2-64bac5c5d247_1280x720.mp4,12289,train-12289,PLAYER1628389 1' Alley Oop Dunk (PLAYER201609 AST),PLAYER1628389 PLAYER201609,action42
13.0,Made Shot,PT10M55.00S,Powell 1' Reverse Layup (2 PTS) (Jackson 1 AST),1.0,v,1.0,203939.0,Powell,D. Powell,6.0,2,4,1.0,Made,Reverse Layup Shot,1610612742.0,DAL,1.0,8.0,12.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/13/d15343cd-5f0c-86f0-fbc8-1dbc365b2432_1280x720.mp4,12290,train-12290,PLAYER203939 1' Reverse Layup (PLAYER1628382 AST),PLAYER203939 PLAYER1628382,action69
15.0,Missed Shot,PT10M39.00S,MISS Olynyk 1' Driving Layup,1.0,h,1.0,203482.0,Olynyk,K. Olynyk,0.0,,,1.0,Missed,Driving Layup Shot,1610612748.0,MIA,1.0,13.0,4.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/15/5ad1cfde-e2b5-de08-8dc7-b70b6bccc512_1280x720.mp4,12291,train-12291,MISS PLAYER203482 1' Driving Layup,PLAYER203482,action99
16.0,Defensive Rebound,PT10M36.00S,Doncic REBOUND (Off:0 Def:1),0.0,v,1.0,1629029.0,Doncic,L. Doncic,0.0,,,0.0,,Unknown,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/16/a27de1f5-0ea9-9287-2d83-48b85199f903_1280x720.mp4,12292,train-12292,PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1629029,action135
17.0,Missed Shot,PT10M24.00S,MISS Powell 24' 3PT Jump Shot,1.0,v,1.0,203939.0,Powell,D. Powell,0.0,,,24.0,Missed,Jump Shot,1610612742.0,DAL,1.0,-237.0,4.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/17/3c6cd0b2-775a-57c3-bcac-4de36c754f57_1280x720.mp4,12293,train-12293,MISS PLAYER203939 24' 3PT Jump Shot,PLAYER203939,action109
18.0,Defensive Rebound,PT10M20.00S,Jones Jr. REBOUND (Off:0 Def:1),0.0,h,1.0,1627884.0,Jones Jr.,D. Jones Jr.,0.0,,,0.0,,Unknown,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/18/cafb887b-3ee6-f7b3-bebe-291428a9167b_1280x720.mp4,12294,train-12294,PLAYER1627884 DEFENSIVE REBOUND ,PLAYER1627884,action135
19.0,Missed Shot,PT10M08.00S,MISS Jones Jr. 26' 3PT Jump Shot,1.0,h,1.0,1627884.0,Jones Jr.,D. Jones Jr.,0.0,,,26.0,Missed,Jump Shot,1610612748.0,MIA,1.0,149.0,210.0,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801124/19/58ae986d-f571-a5ed-d954-9be1319f276f_1280x720.mp4,12295,train-12295,MISS PLAYER1627884 26' 3PT Jump Shot,PLAYER1627884,action109
