actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0 </> 7.0 </> 8.0,Jump Ball </> Missed Shot </> Defensive Rebound,PT12M00.00S </> PT11M51.00S </> PT11M48.00S,Jump Ball Powell vs. Bolden: Tip to Redick </> MISS Bolden 24' 3PT Jump Shot </> Lee REBOUND (Off:0 Def:1),0.0 </> 1.0 </> 0.0,h </> v </> h,1.0 </> 1.0 </> 1.0,203939.0 </> 1628413.0 </> 201584.0,Powell </> Bolden </> Lee,D. Powell </> J. Bolden </> C. Lee,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 24.0 </> 0.0, </> Missed </> , </> Jump Shot </> Unknown,1610612742.0 </> 1610612755.0 </> 1610612742.0,DAL </> PHI </> DAL,1.0 </> 1.0 </> 1.0,0.0 </> -167.0 </> 0.0,0.0 </> 177.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/4/11e55018-ea73-4fb4-63d2-627a6fb898b9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/7/3d42845e-6e1a-944e-8dfe-9d6834f1af3c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/8/49ae4ca1-d538-3389-064a-394d78bd5557_1280x720.mp4,1343 </> 1344 </> 1345,train-1343 </> train-1344 </> train-1345,Jump Ball PLAYER203939 vs. PLAYER1628413: Tip to PLAYER200755 </> MISS PLAYER1628413 24' 3PT Jump Shot </> PLAYER201584 DEFENSIVE REBOUND ,PLAYER203939 PLAYER1628413 PLAYER200755 </> PLAYER1628413 </> PLAYER201584,action41 </> action109 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M38.00S </> PT11M36.00S,MISS Nowitzki 21' Turnaround Jump Shot </> Bolden REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1717.0 </> 1628413.0,Nowitzki </> Bolden,D. Nowitzki </> J. Bolden,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612742.0 </> 1610612755.0,DAL </> PHI,1.0 </> 1.0,-138.0 </> 0.0,158.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/9/f67cb209-bd37-dcd8-9168-0ede5849b010_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/10/dfaca7e1-651f-e961-7984-91d3610bc55c_1280x720.mp4,1346 </> 1347,train-1346 </> train-1347,MISS PLAYER1717 21' Turnaround Jump Shot </> PLAYER1628413 DEFENSIVE REBOUND ,PLAYER1717 </> PLAYER1628413,action133 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M30.00S </> PT11M27.00S,MISS Ennis III 3PT Jump Shot </> Jackson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203516.0 </> 1628382.0,Ennis III </> Jackson,J. Ennis III </> J. Jackson,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612742.0,PHI </> DAL,1.0 </> 1.0,226.0 </> 0.0,51.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/11/c67dec39-0836-1a3d-c1fd-2872599a2a6b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/12/29fdc20f-3105-7154-9332-c9fc33a392da_1280x720.mp4,1348 </> 1349,train-1348 </> train-1349,MISS PLAYER203516 3PT Jump Shot </> PLAYER1628382 DEFENSIVE REBOUND ,PLAYER203516 </> PLAYER1628382,action109 </> action135
14.0,Made Shot,PT11M10.00S,Powell 3' Alley Oop Layup (2 PTS) (Brunson 1 AST),1.0,h,1.0,203939.0,Powell,D. Powell,2.0,0,2,3.0,Made,Alley Oop Layup shot,1610612742.0,DAL,1.0,-29.0,4.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/14/7ec07b99-42f5-50c1-376f-144c73539077_1280x720.mp4,1350,train-1350,PLAYER203939 3' Alley Oop Layup (PLAYER1628973 AST),PLAYER203939 PLAYER1628973,action43
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT11M00.00S </> PT10M58.00S,MISS Simmons 3' Driving Layup </> Lee REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627732.0 </> 201584.0,Simmons </> Lee,B. Simmons </> C. Lee,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612755.0 </> 1610612742.0,PHI </> DAL,1.0 </> 1.0,-33.0 </> 0.0,-2.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/16/f544f34c-10dd-1cea-8208-ad9afe2d7f09_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/17/51ca2937-814e-4328-82b5-b9b9b3759176_1280x720.mp4,1351 </> 1352,train-1351 </> train-1352,MISS Simmons 3' Driving Layup </> PLAYER201584 DEFENSIVE REBOUND , </> PLAYER201584,action99 </> action135
18.0,Made Shot,PT10M47.00S,Brunson 20' Pullup Jump Shot (2 PTS),1.0,h,1.0,1628973.0,Brunson,J. Brunson,4.0,0,4,20.0,Made,Pullup Jump shot,1610612742.0,DAL,1.0,-138.0,141.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/18/6bdeda17-1437-d2ca-714b-ead44dfd49ec_1280x720.mp4,1353,train-1353,PLAYER1628973 20' Pullup Jump Shot ,PLAYER1628973,action65
19.0,Made Shot,PT10M34.00S,Redick 1' Cutting Layup Shot (2 PTS) (Ennis III 1 AST),1.0,v,1.0,200755.0,Redick,J. Redick,6.0,2,4,1.0,Made,Cutting Layup Shot,1610612755.0,PHI,1.0,-6.0,1.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/19/1d7d5e5f-2e03-ba79-d9f8-9c81ae529819_1280x720.mp4,1354,train-1354,PLAYER200755 1' Cutting Layup Shot (Ennis AST),PLAYER200755,action46
21.0 </> 23.0,Made Shot </> Foul,PT10M17.00S </> PT10M17.00S,Powell 3' Turnaround Jump Shot (4 PTS) (Brunson 2 AST) </> Bolden S.FOUL (P1.T1) (M.Davis),1.0 </> 0.0,h </> v,1.0 </> 1.0,203939.0 </> 1628413.0,Powell </> Bolden,D. Powell </> J. Bolden,8.0 </> 0.0,2 </> ,6 </> ,3.0 </> 0.0,Made </> ,Turnaround Jump Shot </> Shooting,1610612742.0 </> 1610612755.0,DAL </> PHI,1.0 </> 1.0,-23.0 </> 0.0,15.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/21/49130779-2776-677e-6ffb-a1b7636dfaea_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/23/a1aee6af-73e8-82c4-0e55-ab58bebfd248_1280x720.mp4,1355 </> 1356,train-1355 </> train-1356,PLAYER203939 3' Turnaround Jump Shot (PLAYER1628973 AST) </> PLAYER1628413 S.FOUL ,PLAYER203939 PLAYER1628973 </> PLAYER1628413,action87 </> action18
26.0,Turnover,PT10M08.00S,Ennis III Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,203516.0,Ennis III,J. Ennis III,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/26/5f0c77bf-e75f-383a-7d4d-c2d9182bae3b_1280x720.mp4,1357,train-1357,PLAYER203516 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER203516,action157
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT09M57.00S </> PT09M54.00S,MISS Jackson 14' Pullup Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628382.0 </> 202699.0,Jackson </> Harris,J. Jackson </> T. Harris,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612742.0 </> 1610612755.0,DAL </> PHI,1.0 </> 1.0,-23.0 </> 0.0,140.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/27/bdc719a3-333a-1c36-81b1-63319778d6f7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/01/0021801158/28/054a957f-a16f-0166-b485-018e3fd84934_1280x720.mp4,1358 </> 1359,train-1358 </> train-1359,MISS PLAYER1628382 14' Pullup Jump Shot </> PLAYER2734 DEFENSIVE REBOUND ,PLAYER1628382 </> PLAYER2734,action111 </> action135
