actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Zubac vs. McGee: Tip to Wagner,0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/4/910aa5d8-5a10-f128-c871-1bc65144d54b_1280x720.mp4,35029,val-1440,Jump Ball PLAYER1627826 vs. PLAYER201580: Tip to PLAYER1629021,PLAYER1627826 PLAYER201580 PLAYER1629021,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M42.00S </> PT11M40.00S,MISS McGee 6' Hook Shot </> Zubac REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201580.0 </> 1627826.0,McGee </> Zubac,J. McGee </> I. Zubac,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612747.0 </> 1610612746.0,LAL </> LAC,1.0 </> 1.0,20.0 </> 0.0,60.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/7/180133d4-232b-b858-858a-6a519b8caf3f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/8/951313da-6ade-9b7f-32f2-0bfecef7ed57_1280x720.mp4,35030 </> 35031,val-1441 </> val-1442,MISS PLAYER201580 6' Hook Shot </> PLAYER1627826 DEFENSIVE REBOUND ,PLAYER201580 </> PLAYER1627826,action107 </> action135
9.0,Foul,PT11M33.00S,Wagner P.FOUL (P1.T1) (M.Ervin),0.0,v,1.0,1629021.0,Wagner,M. Wagner,0.0,,,0.0,,Personal,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/9/b9a45d42-25f4-0413-fdb5-54d055e9542d_1280x720.mp4,35032,val-1443,PLAYER1629021 P.FOUL ,PLAYER1629021,action16
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M21.00S </> PT11M20.00S,MISS Gallinari 6' Floating Jump Shot </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201568.0 </> 201580.0,Gallinari </> McGee,D. Gallinari </> J. McGee,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612746.0 </> 1610612747.0,LAC </> LAL,1.0 </> 1.0,19.0 </> 0.0,52.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/11/5088129f-5d3f-04af-65a6-abc2b0f7e265_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/12/912349e4-329d-251f-8c45-a498b0edcc02_1280x720.mp4,35033 </> 35034,val-1444 </> val-1445,MISS PLAYER201568 6' Floating Jump Shot </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER201568 </> PLAYER201580,action105 </> action135
13.0 </> 14.0,Made Shot </> Foul,PT11M17.00S </> PT11M17.00S,Rondo 2' Running Layup (2 PTS) </> Temple S.FOUL (P1.T1) (M.Ervin),1.0 </> 0.0,v </> h,1.0 </> 1.0,200765.0 </> 202066.0,Rondo </> Temple,R. Rondo </> G. Temple,2.0 </> 0.0,2 </> ,0 </> ,2.0 </> 0.0,Made </> ,Running Layup Shot </> Shooting,1610612747.0 </> 1610612746.0,LAL </> LAC,1.0 </> 1.0,15.0 </> 0.0,11.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/13/b0e1a7e1-e25d-a82f-1143-f72069d6579d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/14/3b0b9cca-1cb6-fdf6-812d-4d842178b2bd_1280x720.mp4,35035 </> 35036,val-1446 </> val-1447,PLAYER200765 2' Running Layup  </> PLAYER202066 S.FOUL ,PLAYER200765 </> PLAYER202066,action75 </> action18
17.0,Defensive Rebound,PT11M10.00S,Gilgeous-Alexander REBOUND (Off:0 Def:1),0.0,h,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/17/c5488be3-aa11-2fff-fcf1-9a9f4877a8fe_1280x720.mp4,35037,val-1448,PLAYER1628983 DEFENSIVE REBOUND ,PLAYER1628983,action135
18.0,Made Shot,PT11M02.00S,Temple 15' Pullup Jump Shot (2 PTS) (Gallinari 1 AST),1.0,h,1.0,202066.0,Temple,G. Temple,4.0,2,2,15.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,144.0,48.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/18/34a94118-71b4-3d3f-fa4f-7cc171d623be_1280x720.mp4,35038,val-1449,PLAYER202066 15' Pullup Jump Shot (PLAYER201568 AST),PLAYER202066 PLAYER201568,action65
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M40.00S </> PT10M37.00S,MISS McGee 25' 3PT Jump Shot </> Gilgeous-Alexander REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,201580.0 </> 1628983.0,McGee </> Gilgeous-Alexander,J. McGee </> S. Gilgeous-Alexander,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612747.0 </> 1610612746.0,LAL </> LAC,1.0 </> 1.0,157.0 </> 0.0,191.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/20/f27f9f14-a956-ceb5-826b-f68597e5aa03_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/21/e4b23103-56ca-0920-572b-bd733d4b816b_1280x720.mp4,35039 </> 35040,val-1450 </> val-1451,MISS PLAYER201580 25' 3PT Jump Shot </> PLAYER1628983 DEFENSIVE REBOUND ,PLAYER201580 </> PLAYER1628983,action109 </> action135
22.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M29.00S </> PT10M26.00S,MISS Zubac 2' Layup </> Caruso REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627826.0 </> 1627936.0,Zubac </> Caruso,I. Zubac </> A. Caruso,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612746.0 </> 1610612747.0,LAC </> LAL,1.0 </> 1.0,2.0 </> 0.0,16.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/22/79be16a5-b421-a004-f83b-a67509502f86_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/24/510328c7-d2c5-44b8-7c3c-99ee5a9d485a_1280x720.mp4,35041 </> 35042,val-1452 </> val-1453,MISS PLAYER1627826 2' Layup </> PLAYER1627936 DEFENSIVE REBOUND ,PLAYER1627826 </> PLAYER1627936,action110 </> action135
25.0,Made Shot,PT10M25.00S,McGee 2' Running Dunk (2 PTS) (Rondo 1 AST),1.0,v,1.0,201580.0,McGee,J. McGee,6.0,4,2,2.0,Made,Running Dunk Shot,1610612747.0,LAL,1.0,6.0,20.0,https://videos.nba.com/nba/pbp/media/2019/04/05/0021801192/25/4daadff2-265d-f66d-7acb-1492c06b5277_1280x720.mp4,35043,val-1454,PLAYER201580 2' Running Dunk (PLAYER200765 AST),PLAYER201580 PLAYER200765,action72
