actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Adebayo vs. Bolden: Tip to Dragic,0.0,h,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/4/2b808a4e-1b4b-6776-ee28-58ae515fdcee_1280x720.mp4,33589,val-0,Jump Ball PLAYER1628389 vs. PLAYER1628413: Tip to PLAYER201609,PLAYER1628389 PLAYER1628413 PLAYER201609,action41
7.0,Made Shot,PT11M45.00S,Wade 1' Cutting Dunk Shot (2 PTS) (Olynyk 1 AST),1.0,h,1.0,2548.0,Wade,D. Wade,2.0,0,2,1.0,Made,Cutting Dunk Shot,1610612748.0,MIA,1.0,3.0,9.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/7/6883b2b7-0bb2-8c5d-118e-c79aaaf891c5_1280x720.mp4,33590,val-1,PLAYER2548 1' Cutting Dunk Shot (PLAYER203482 AST),PLAYER2548 PLAYER203482,action44
9.0,Foul,PT11M33.00S,Dragic S.FOUL (P1.T1) (T.Washington),0.0,h,1.0,201609.0,Dragic,G. Dragic,0.0,,,0.0,,Shooting,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/9/3275702a-1b57-ee61-8ad7-1f158683de64_1280x720.mp4,33591,val-2,PLAYER201609 S.FOUL ,PLAYER201609,action18
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M19.00S </> PT11M17.00S,MISS Wade 23' Jump Shot </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,2548.0 </> 1627732.0,Wade </> Simmons,D. Wade </> B. Simmons,0.0 </> 0.0, </> , </> ,23.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,-67.0 </> 0.0,216.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/13/0524db55-9f14-d047-e20b-9dd89435f5b5_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/14/8216c5c3-2651-66fa-318d-da270649ed04_1280x720.mp4,33592 </> 33593,val-3 </> val-4,MISS PLAYER2548 23' Jump Shot </> Simmons DEFENSIVE REBOUND ,PLAYER2548 </> ,action109 </> action135
15.0,Made Shot,PT11M10.00S,Simmons 2' Running Layup (2 PTS),1.0,v,1.0,1627732.0,Simmons,B. Simmons,6.0,4,2,2.0,Made,Running Layup Shot,1610612755.0,PHI,1.0,-13.0,13.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/15/bb77b102-049e-c23d-09e5-5ac0e8e3e3f9_1280x720.mp4,33594,val-5,Simmons 2' Running Layup ,,action75
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT11M03.00S </> PT11M00.00S,MISS Dragic 24' 3PT Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201609.0 </> 202699.0,Dragic </> Harris,G. Dragic </> T. Harris,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,234.0 </> 0.0,27.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/16/1d49d580-7b01-46e5-6881-3c5f297d372b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/17/560cde1c-ca6e-aad8-000e-c29b91070c54_1280x720.mp4,33595 </> 33596,val-6 </> val-7,MISS PLAYER201609 24' 3PT Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER201609 </> PLAYER202699,action109 </> action135
18.0,Made Shot,PT10M50.00S,Simmons 2' Cutting Layup Shot (4 PTS) (Bolden 1 AST),1.0,v,1.0,1627732.0,Simmons,B. Simmons,8.0,6,2,2.0,Made,Cutting Layup Shot,1610612755.0,PHI,1.0,-3.0,21.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/18/ff7e93d6-148e-66a5-dd7d-ff91ca5fe859_1280x720.mp4,33597,val-8,Simmons 2' Cutting Layup Shot (PLAYER1628413 AST),PLAYER1628413,action46
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M41.00S </> PT10M38.00S,MISS Wade 3PT Jump Shot </> Harris REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,2548.0 </> 202699.0,Wade </> Harris,D. Wade </> T. Harris,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612755.0,MIA </> PHI,1.0 </> 1.0,-222.0 </> 0.0,-8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/20/1eca75d8-1f97-635c-f1b2-1e5a8050c4fe_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/21/913ec144-d0ae-b3d7-657d-37e38dc7f10b_1280x720.mp4,33598 </> 33599,val-9 </> val-10,MISS PLAYER2548 3PT Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER2548 </> PLAYER202699,action109 </> action135
22.0,Foul,PT10M38.00S,Olynyk S.FOUL (P1.T2) (J.Goble),0.0,h,1.0,203482.0,Olynyk,K. Olynyk,0.0,,,0.0,,Shooting,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/22/32cdd2a8-1873-61af-bbe3-fa6c5a721d6a_1280x720.mp4,33600,val-11,PLAYER203482 S.FOUL ,PLAYER203482,action18
26.0,Made Shot,PT10M29.00S,Winslow 26' 3PT Jump Shot (3 PTS) (Dragic 1 AST),1.0,h,1.0,1626159.0,Winslow,J. Winslow,13.0,8,5,26.0,Made,Jump Shot,1610612748.0,MIA,1.0,111.0,235.0,https://videos.nba.com/nba/pbp/media/2019/04/09/0021801212/26/656d057b-4adc-b1b3-cc45-5b50a56637fd_1280x720.mp4,33601,val-12,PLAYER1626159 26' 3PT Jump Shot (PLAYER201609 AST),PLAYER1626159 PLAYER201609,action63
